Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
Kurtosis,{'N': 30},1,RAW,Yes,High,-0.1271,-5.8202
Kurtosis,{'N': 30},1,STATE_MACHINE,Yes,High,-0.2014,-5.7392
Kurtosis,{'N': 10},2,RAW,Yes,High,-0.147,-3.0779
Kurtosis,{'N': 10},2,STATE_MACHINE,Yes,High,0.0527,0.7875
Kurtosis,{'N': 20},3,RAW,Yes,High,-0.1638,-5.9772
Kurtosis,{'N': 20},3,STATE_MACHINE,Yes,High,-0.1997,-4.5167
OvernightVsIntraday,{'N': 20},1,RAW,Yes,High,0.2797,10.8043
OvernightVsIntraday,{'N': 20},1,STATE_MACHINE,Yes,High,0.3456,8.8949
OvernightVsIntraday,{'N': 30},2,RAW,Yes,High,0.202,8.4319
OvernightVsIntraday,{'N': 30},2,STATE_MACHINE,Yes,High,0.1576,4.4279
OvernightVsIntraday,{'N': 40},3,RAW,Yes,High,0.1344,5.9554
OvernightVsIntraday,{'N': 40},3,STATE_MACHINE,Yes,High,-0.032,-0.9922
Skewness,{'N': 60},1,RAW,Yes,High,0.347,15.7753
Skewness,{'N': 60},1,STATE_MACHINE,Yes,High,0.2706,8.8901
Skewness,{'N': 50},2,RAW,Yes,High,0.3455,14.916
Skewness,{'N': 50},2,STATE_MACHINE,Yes,High,0.2191,6.8054
Skewness,{'N': 40},3,RAW,Yes,High,0.297,11.634
Skewness,{'N': 40},3,STATE_MACHINE,Yes,High,0.2612,7.7114
NoiseFader,{'N': 10},1,RAW,Yes,High,-0.3546,-6.0975
NoiseFader,{'N': 10},1,STATE_MACHINE,Yes,High,-0.3216,-7.0574
NoiseFader,{'N': 60},2,RAW,Yes,High,-0.4008,-12.5155
NoiseFader,{'N': 60},2,STATE_MACHINE,Yes,High,-0.4227,-14.3384
NoiseFader,{'N': 20},3,RAW,Yes,High,-0.4518,-10.6983
NoiseFader,{'N': 20},3,STATE_MACHINE,Yes,High,-0.4399,-12.2605
ShortTermReversal,{'N': 10},1,RAW,Yes,High,-0.0213,-0.8354
ShortTermReversal,{'N': 10},1,STATE_MACHINE,Yes,High,-0.3216,-7.0574
ShortTermReversal,{'N': 20},2,RAW,Yes,High,-0.1808,-8.9537
ShortTermReversal,{'N': 20},2,STATE_MACHINE,Yes,High,-0.4399,-12.2605
ShortTermReversal,{'N': 60},3,RAW,Yes,High,-0.3069,-19.5874
ShortTermReversal,{'N': 60},3,STATE_MACHINE,Yes,High,-0.4227,-14.3384
AmihudIlliquidity,{'N': 60},1,RAW,Yes,High,-0.1878,-21.76
AmihudIlliquidity,{'N': 60},1,STATE_MACHINE,Yes,High,0.4247,25.1363
AmihudIlliquidity,{'N': 30},2,RAW,Yes,High,-0.2268,-25.632
