Factor,Parameters,Mode,SharpRatio,POT
VolumeMomentum,{'N': 10},RAW,0.1089,2.5746
VolumeMomentum,{'N': 10},STATE_MACHINE,-0.1527,-2.8332
VolumeMomentum,{'N': 20},RAW,-0.0104,-0.3773
VolumeMomentum,{'N': 20},STATE_MACHINE,-0.1262,-4.2051
VolumeMomentum,{'N': 30},RAW,-0.3399,-13.7141
VolumeMomentum,{'N': 30},STATE_MACHINE,-0.0249,-0.7105
VolumeMomentum,{'N': 40},RAW,-0.2983,-13.5442
VolumeMomentum,{'N': 40},STATE_MACHINE,-0.3463,-14.8811
VolumeMomentum,{'N': 50},RAW,-0.033,-1.6207
VolumeMomentum,{'N': 50},STATE_MACHINE,0.0902,4.1222
VolumeMomentum,{'N': 60},RAW,0.1618,9.0648
VolumeMomentum,{'N': 60},STATE_MACHINE,0.0677,3.2757
