Factor,Parameters,Mode,SharpRatio,POT
ShortTermReversal,{'N': 10},RAW,-0.3258,-14.124
ShortTermReversal,{'N': 10},STATE_MACHINE,-0.2656,-5.7153
ShortTermReversal,{'N': 20},RAW,-0.4136,-27.0449
ShortTermReversal,{'N': 20},STATE_MACHINE,-0.4315,-13.5438
ShortTermReversal,{'N': 30},RAW,-0.3453,-26.3745
ShortTermReversal,{'N': 30},STATE_MACHINE,-0.4366,-14.9913
ShortTermReversal,{'N': 40},RAW,-0.3654,-31.402
ShortTermReversal,{'N': 40},STATE_MACHINE,-0.6676,-27.0528
ShortTermReversal,{'N': 50},RAW,-0.4208,-38.5681
ShortTermReversal,{'N': 50},STATE_MACHINE,-0.6405,-27.9744
ShortTermReversal,{'N': 60},RAW,-0.4549,-44.3349
ShortTermReversal,{'N': 60},STATE_MACHINE,-0.6111,-28.2375
