trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,1.641744998279177,-2.74111194407259
20100323,3.157603012200896,-4.210673069404484
20100324,4.208924406799011,-5.06677779519285
20100325,5.16996726775776,-6.73949718133729
20100326,6.196117295662533,-8.168355485489124
20100329,7.833913687553148,-9.25605139007009
20100330,9.556528331499988,-10.388108041288993
20100331,17.3263638698323,-11.184199800335854
20100401,23.865328487463188,-10.78759466965168
20100402,26.8014965744444,-11.184729905698898
20100406,28.90149273793201,-11.063030931867761
20100407,31.9247625499383,-10.90805328247105
20100408,38.444900132143644,-10.4168488444906
20100409,46.52581936579284,-13.458123837116629
20100412,53.68667103192849,-17.163026872294374
20100413,60.17784982118422,-20.370820508125707
20100414,75.36578192038019,-22.74748146384495
20100415,89.90620365374916,-24.83886303591903
20100416,100.72144349573155,-24.786111884204956
20100419,113.92544357422034,-23.983759932155472
20100420,121.01458501225719,-23.290668130719204
20100421,123.73331045938112,-22.324152460521447
20100422,129.05639169555522,-24.29691494771168
20100423,133.92256941367754,-26.520653599432926
20100426,137.88118278029538,-28.172102130888856
20100427,144.83008461130356,-28.568844107587203
20100428,151.7041321807748,-28.522068126493124
20100429,160.71194734917026,-36.771821164613314
20100430,168.80228616413626,-44.06084904419643
20100504,178.48502644652078,-48.444258167650794
20100505,163.22429096073037,-53.37768548234649
20100506,152.68759742431152,-57.00365168096193
20100507,146.45304473641764,-57.5042263059217
20100510,140.22353163245742,-55.50705382926676
20100511,128.36996613005346,-53.694033328703654
20100512,118.03749961026315,-52.17583561588798
20100513,107.15627929194066,-52.170721619752506
20100514,99.2633386510725,-50.750880990624026
20100517,93.30738877302123,-49.4929123440474
20100518,91.99739708001934,-47.9451299128139
20100519,91.10769245401237,-46.764069988666094
