Factor,Parameters,Mode,SharpRatio,POT
IntradayAmplitude,{'N': 10},RAW,0.0798,9.976
IntradayAmplitude,{'N': 10},STATE_MACHINE,0.0009,0.088
IntradayAmplitude,{'N': 20},RAW,0.0839,11.8411
IntradayAmplitude,{'N': 20},STATE_MACHINE,0.0016,0.161
IntradayAmplitude,{'N': 30},RAW,0.0668,8.4775
IntradayAmplitude,{'N': 30},STATE_MACHINE,-0.0102,-1.0247
IntradayAmplitude,{'N': 40},RAW,0.0735,9.0646
IntradayAmplitude,{'N': 40},STATE_MACHINE,-0.0087,-0.8743
IntradayAmplitude,{'N': 50},RAW,0.0897,10.9061
IntradayAmplitude,{'N': 50},STATE_MACHINE,-0.0063,-0.6381
IntradayAmplitude,{'N': 60},RAW,0.0926,11.1529
IntradayAmplitude,{'N': 60},STATE_MACHINE,-0.0059,-0.5924
