Factor,Parameters,Mode,SharpRatio,POT
Kurtosis,{'N': 10},RAW,0.1571,3.6773
Kurtosis,{'N': 10},STATE_MACHINE,0.3465,6.0595
Kurtosis,{'N': 20},RAW,0.2473,9.8622
Kurtosis,{'N': 20},STATE_MACHINE,0.3897,11.6716
Kurtosis,{'N': 30},RAW,0.1122,6.0512
Kurtosis,{'N': 30},STATE_MACHINE,0.1656,6.8901
Kurtosis,{'N': 40},RAW,0.0829,5.154
Kurtosis,{'N': 40},STATE_MACHINE,0.1634,8.6466
Kurtosis,{'N': 50},RAW,0.0528,3.7393
Kurtosis,{'N': 50},STATE_MACHINE,0.1283,7.8034
Kurtosis,{'N': 60},RAW,0.0462,3.6194
Kurtosis,{'N': 60},STATE_MACHINE,0.0401,2.7245
