Factor,Parameters,Mode,SharpRatio,POT
OBV,{'N': 10},RAW,0.1145,27.5287
OBV,{'N': 10},STATE_MACHINE,0.3676,6.3896
OBV,{'N': 20},RAW,0.2147,23.9187
OBV,{'N': 20},STATE_MACHINE,0.4528,12.1466
OBV,{'N': 30},RAW,0.7571,124.9229
OBV,{'N': 30},STATE_MACHINE,0.3465,10.9944
OBV,{'N': 40},RAW,0.1801,15.217
OBV,{'N': 40},STATE_MACHINE,0.2847,10.5146
OBV,{'N': 50},RAW,-0.2831,-90.325
OBV,{'N': 50},STATE_MACHINE,0.2094,8.6067
OBV,{'N': 60},RAW,-0.1028,-23.7572
OBV,{'N': 60},STATE_MACHINE,0.1661,7.0519
