trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0,0.0
20100201,0.02276800223032853,0.0,0.0,0.0,0.0,0.0
20100202,0.0087444191962818,0.0,0.0,0.0,0.0,0.0
20100203,-0.07123170585654762,0.0,0.0,0.0,0.0,0.0
20100204,0.036068641202047905,0.0,0.0,0.0,0.0,0.0
20100205,-0.018502556433200854,0.0,0.0,0.0,0.0,0.0
20100208,-0.061358444164625686,0.0,0.0,0.0,0.0,0.0
20100209,-0.004325372320808401,0.0,0.0,0.0,0.0,0.0
20100210,0.019820000735698236,0.0,0.0,0.0,0.0,0.0
20100211,-0.052849109039931924,0.0,0.0,0.0,0.0,0.0
20100212,0.011243015557310674,0.0,0.0,0.0,0.0,0.0
20100222,-0.048039594357624116,0.0,0.0,0.0,0.0,0.0
20100223,-0.04477114903186453,0.0,0.0,0.0,0.0,0.0
20100224,0.008023674962835833,0.0,0.0,0.0,0.0,0.0
20100225,0.004429433225281236,0.0,0.0,0.0,0.0,0.0
