Factor,Parameters,Mode,SharpRatio,POT
DownsideUpsideVolatility,{'N': 10},RAW,0.103,2.6801
DownsideUpsideVolatility,{'N': 10},STATE_MACHINE,0.0649,1.3776
DownsideUpsideVolatility,{'N': 20},RAW,0.5109,20.6421
DownsideUpsideVolatility,{'N': 20},STATE_MACHINE,0.4387,14.0024
DownsideUpsideVolatility,{'N': 30},RAW,0.4361,20.3677
DownsideUpsideVolatility,{'N': 30},STATE_MACHINE,0.2328,8.5943
DownsideUpsideVolatility,{'N': 40},RAW,0.459,23.8157
DownsideUpsideVolatility,{'N': 40},STATE_MACHINE,0.3365,14.1459
DownsideUpsideVolatility,{'N': 50},RAW,0.4406,25.1455
DownsideUpsideVolatility,{'N': 50},STATE_MACHINE,0.3121,13.8467
DownsideUpsideVolatility,{'N': 60},RAW,0.3838,23.5167
DownsideUpsideVolatility,{'N': 60},STATE_MACHINE,0.4527,21.6079
