Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,STATE_MACHINE,Yes,High,0.1784,6.4889
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",3,RAW,Yes,High,0.2457,10.117
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",3,STATE_MACHINE,Yes,High,0.1333,3.4857
MovingAverageBias,{'N': 60},1,RAW,Yes,High,0.4244,37.8022
MovingAverageBias,{'N': 60},1,STATE_MACHINE,Yes,High,0.6862,29.4157
MovingAverageBias,{'N': 50},2,RAW,Yes,High,0.4066,33.5526
MovingAverageBias,{'N': 50},2,STATE_MACHINE,Yes,High,0.6415,25.6093
MovingAverageBias,{'N': 30},3,RAW,Yes,High,0.4018,26.39
MovingAverageBias,{'N': 30},3,STATE_MACHINE,Yes,High,0.4907,15.6135
RSI,{'N': 40},1,RAW,Yes,High,0.6208,35.8176
RSI,{'N': 40},1,STATE_MACHINE,Yes,High,0.6708,27.1122
RSI,{'N': 50},2,RAW,Yes,High,0.6137,38.288
RSI,{'N': 50},2,STATE_MACHINE,Yes,High,0.6437,28.0812
RSI,{'N': 30},3,RAW,Yes,High,0.6113,30.8561
RSI,{'N': 30},3,STATE_MACHINE,Yes,High,0.4362,14.9697
TimeSeriesMomentum,{'N': 60},1,RAW,Yes,High,0.4549,44.3349
TimeSeriesMomentum,{'N': 60},1,STATE_MACHINE,Yes,High,0.6111,28.2375
TimeSeriesMomentum,{'N': 50},2,RAW,Yes,High,0.4208,38.5681
TimeSeriesMomentum,{'N': 50},2,STATE_MACHINE,Yes,High,0.6405,27.9744
TimeSeriesMomentum,{'N': 20},3,RAW,Yes,High,0.4136,27.0449
TimeSeriesMomentum,{'N': 20},3,STATE_MACHINE,Yes,High,0.4315,13.5438
ATR,{'N': 50},1,RAW,Yes,High,0.0884,10.7725
ATR,{'N': 50},1,STATE_MACHINE,Yes,High,-0.0063,-0.6381
ATR,{'N': 60},2,RAW,Yes,High,0.088,10.6362
ATR,{'N': 60},2,STATE_MACHINE,Yes,High,-0.0059,-0.5924
ATR,{'N': 20},3,RAW,Yes,High,0.0845,12.237
ATR,{'N': 20},3,STATE_MACHINE,Yes,High,0.0016,0.161
DownsideUpsideVolatility,{'N': 20},1,RAW,Yes,High,0.5109,20.6421
DownsideUpsideVolatility,{'N': 20},1,STATE_MACHINE,Yes,High,0.4387,14.0024
DownsideUpsideVolatility,{'N': 40},2,RAW,Yes,High,0.459,23.8157
DownsideUpsideVolatility,{'N': 40},2,STATE_MACHINE,Yes,High,0.3365,14.1459
DownsideUpsideVolatility,{'N': 50},3,RAW,Yes,High,0.4406,25.1455
DownsideUpsideVolatility,{'N': 50},3,STATE_MACHINE,Yes,High,0.3121,13.8467
HistoricalVolatility,{'N': 60},1,RAW,Yes,High,0.1207,15.2979
HistoricalVolatility,{'N': 60},1,STATE_MACHINE,Yes,High,-0.0057,-0.571
HistoricalVolatility,{'N': 50},2,RAW,Yes,High,0.1062,13.6529
HistoricalVolatility,{'N': 50},2,STATE_MACHINE,Yes,High,-0.0055,-0.5522
HistoricalVolatility,{'N': 10},3,RAW,Yes,High,0.103,11.5945
HistoricalVolatility,{'N': 10},3,STATE_MACHINE,Yes,High,0.0005,0.0505
IntradayAmplitude,{'N': 60},1,RAW,Yes,High,0.0926,11.1529
IntradayAmplitude,{'N': 60},1,STATE_MACHINE,Yes,High,-0.0059,-0.5924
IntradayAmplitude,{'N': 50},2,RAW,Yes,High,0.0897,10.9061
IntradayAmplitude,{'N': 50},2,STATE_MACHINE,Yes,High,-0.0063,-0.6381
IntradayAmplitude,{'N': 20},3,RAW,Yes,High,0.0839,11.8411
IntradayAmplitude,{'N': 20},3,STATE_MACHINE,Yes,High,0.0016,0.161
VIXFix,{'N': 10},1,RAW,Yes,High,-0.0603,-3.6469
VIXFix,{'N': 10},1,STATE_MACHINE,Yes,High,-0.0513,-5.0979
VIXFix,{'N': 30},2,RAW,Yes,High,-0.0974,-7.9402
VIXFix,{'N': 30},2,STATE_MACHINE,Yes,High,-0.0513,-5.0979
VIXFix,{'N': 40},3,RAW,Yes,High,-0.1147,-10.1776
VIXFix,{'N': 40},3,STATE_MACHINE,Yes,High,-0.0513,-5.0979
CMF,{'N': 50},1,RAW,Yes,High,0.5292,30.016
CMF,{'N': 50},1,STATE_MACHINE,Yes,High,0.5029,21.5296
CMF,{'N': 40},2,RAW,Yes,High,0.4895,25.8249
CMF,{'N': 40},2,STATE_MACHINE,Yes,High,0.2749,10.8791
CMF,{'N': 60},3,RAW,Yes,High,0.447,26.8494
CMF,{'N': 60},3,STATE_MACHINE,Yes,High,0.3521,15.6977
