Factor,Parameters,Mode,SharpRatio,POT
PriceOiDivergence,{'N': 10},RAW,0.0732,2.4032
PriceOiDivergence,{'N': 10},STATE_MACHINE,-0.2554,-4.4959
PriceOiDivergence,{'N': 20},RAW,0.0177,0.7761
PriceOiDivergence,{'N': 20},STATE_MACHINE,0.0813,2.1095
PriceOiDivergence,{'N': 30},RAW,-0.026,-1.4265
PriceOiDivergence,{'N': 30},STATE_MACHINE,0.1207,3.9942
PriceOiDivergence,{'N': 40},RAW,-0.4707,-31.1558
PriceOiDivergence,{'N': 40},STATE_MACHINE,-0.1775,-7.1083
PriceOiDivergence,{'N': 50},RAW,-0.3525,-27.5443
PriceOiDivergence,{'N': 50},STATE_MACHINE,-0.521,-24.3869
PriceOiDivergence,{'N': 60},RAW,-0.3989,-33.994
PriceOiDivergence,{'N': 60},STATE_MACHINE,-0.2224,-12.9198
