Factor,Parameters,Mode,SharpRatio,POT
MovingAverageBias,{'N': 10},RAW,0.3158,11.5088
MovingAverageBias,{'N': 10},STATE_MACHINE,0.382,6.9895
MovingAverageBias,{'N': 20},RAW,0.3894,20.7197
MovingAverageBias,{'N': 20},STATE_MACHINE,0.412,10.7365
MovingAverageBias,{'N': 30},RAW,0.4018,26.39
MovingAverageBias,{'N': 30},STATE_MACHINE,0.4907,15.6135
MovingAverageBias,{'N': 40},RAW,0.3958,29.6595
MovingAverageBias,{'N': 40},STATE_MACHINE,0.4409,15.4695
MovingAverageBias,{'N': 50},RAW,0.4066,33.5526
MovingAverageBias,{'N': 50},STATE_MACHINE,0.6415,25.6093
MovingAverageBias,{'N': 60},RAW,0.4244,37.8022
MovingAverageBias,{'N': 60},STATE_MACHINE,0.6862,29.4157
