trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,0.0,0.0,0.0,,
20100202,0.0,0.0,0.0,,
20100203,0.0,0.0,0.0,,
20100204,0.0,0.0,0.0,,
20100205,0.0,0.0,0.0,,
20100208,0.0,0.0,0.0,,
20100209,0.0,0.0,0.0,,
20100210,0.0,0.0,0.0,,
20100211,0.0,0.0,0.0,,
20100212,0.0,0.0,0.0,,
20100222,0.0,0.0,0.0,,
20100223,0.0,0.0,0.0,,
20100224,0.0,0.0,0.0,,
20100225,0.0,0.0,0.0,,
20100226,0.0,0.0,0.0,,
20100301,0.0,0.0,0.0,,
20100302,0.0,0.0,0.0,,
20100303,0.0,0.0,0.0,,
20100304,0.0,0.0,0.0,,
20100305,0.0,0.0,0.0,,
20100308,0.0,0.0,0.0,,
20100309,0.0,0.0,0.0,,
20100310,0.0,0.0,0.0,,
20100311,0.0,0.0,0.0,,
20100312,0.0,0.0,0.0,,
20100315,0.0,0.0,0.0,,
20100316,0.0,0.0,0.0,,
20100317,0.0,0.0,0.0,,
20100318,0.0,0.0,0.0,,
20100319,0.0,0.0,0.0,,
20100322,0.0,0.0,0.0,,
20100323,0.0,0.0,0.0,,
20100324,0.0,0.0,0.0,,
20100325,0.0,0.0,0.0,,
20100326,0.0,0.0,0.0,,
20100329,0.0,0.0,0.0,,
20100330,0.0,0.0,0.0,,
20100331,0.0,0.0,0.0,,
20100401,0.0,0.0,0.0,,
20100402,-0.19259444509789975,0.040291200245476486,0.15085398153073698,,
20100406,-0.31827416667969133,0.13454868323956426,0.2998552330206748,,
20100407,-0.39838669829764156,0.24066544298346815,0.42313281541003833,,
20100408,-0.43604503209329126,0.3833656219244123,0.5601207790870798,,
20100409,-0.4440465035041032,0.5530973689697996,0.7279321063784097,,
20100412,-0.43016332904471455,0.7611683729306962,0.9079199218815475,,
20100413,-0.39553980692160745,0.9706416656393431,1.0909883594232213,,
20100414,-0.33960042096363513,1.1768429529461546,1.26374210522791,,
20100415,-0.2801614576586717,1.3554527695807457,1.4023119691441148,,
20100416,-0.19364901337067447,1.5694978798532828,1.5451594032448153,,
20100419,-0.07963110094257317,1.661144763792538,1.5606585654008054,,
20100420,0.04438292787232987,1.7362009237332328,1.54785077632006,,
20100421,0.18415180613865015,1.7943773851511007,1.5026046406285753,,
20100422,0.33892946491952064,1.8287836742546462,1.426192687920164,,
20100423,0.4977429808811851,1.8472070510181466,1.3442928614059506,,
20100426,0.6881363832742424,1.8849316148893442,1.2785811415972483,,
20100427,0.8944250064329757,1.9295273992062585,1.235019316672617,,
20100428,1.0756757594946453,1.952775349750873,1.1719504718245264,,
20100429,1.2515203394918473,1.965567413627759,1.109772382764603,,
20100430,1.4570609646289756,1.9748961863696777,1.0518454312876382,,
20100504,1.600273234047585,1.9719886019430057,0.9877870587820057,,
20100505,1.7121340749418916,1.9523803211956166,0.9123309348000077,,
20100506,1.7330384822133764,1.937883477832141,0.8321098171312141,,
20100507,1.7181670837845484,1.8484550402158861,0.7271028507401448,,
20100510,1.6720931583041108,1.7394467702551477,0.6186135972171868,,
20100511,1.6273124261284357,1.6344827841863607,0.5133462552750716,,
20100512,1.5802205157448252,1.535904425127327,0.4149707475263416,,
20100513,1.5373775986584635,1.4405374378538305,0.3191022236882675,,
20100514,1.481849161058837,1.3419252928161451,0.2262075543843359,,
20100517,1.4197213890004998,1.2219068224685683,0.1360637216616114,,
20100518,1.3644932918695938,1.102548929018172,0.04630085403824981,,
20100519,1.324459311579461,0.9874552221486255,-0.038796857768582424,,
20100520,1.292030127143834,0.8701707481631686,-0.11998874805338589,,
20100521,1.268127578539966,0.7527295305935554,-0.19766383886005204,,
20100524,1.2580494416839738,0.6293618832324235,-0.28191002022243045,,
20100525,1.2382639069359458,0.4958441379765772,-0.37519285576705474,,
20100526,1.2142815204046165,0.36218789231306636,-0.468326357036373,,
20100527,1.1851001850770706,0.2283151824075682,-0.5665261278153009,,
20100528,1.150634124670984,0.09673050680964194,-0.6630175854198741,,
20100531,1.0975289310497254,-0.03949615233245938,-0.7621218574328271,,
20100601,1.035305446851265,-0.1688518093830325,-0.8528081110712841,,
20100602,0.960815037527124,-0.2888381478456447,-0.9298073388972486,,
20100603,0.881610614550892,-0.4077590310844803,-1.0029512701832355,,
20100604,0.7949007853100535,-0.538606016260786,-1.1006434214411882,,
20100607,0.6828979521269918,-0.6637024367317652,-1.173299165833527,,
20100608,0.5409633100640763,-0.7992417985973229,-1.2626309053430866,,
20100609,0.37106387204897645,-0.9488862971642676,-1.3734250126712129,,
20100610,0.1923796124700591,-1.0974963020100716,-1.492808403830658,,
20100611,-0.0005426190550526318,-1.2470080443059253,-1.6208534886351873,,
20100617,-0.21716900905256864,-1.4350219163638172,-1.796091828764828,,
