Factor,Parameters,Mode,SharpRatio,POT
VIXFix,{'N': 10},RAW,0.4276,37.8269
VIXFix,{'N': 10},STATE_MACHINE,0.4723,67.6168
VIXFix,{'N': 20},RAW,0.4266,44.8398
VIXFix,{'N': 20},STATE_MACHINE,0.4721,67.6777
VIXFix,{'N': 30},RAW,0.2865,33.7296
VIXFix,{'N': 30},STATE_MACHINE,0.4721,67.6777
VIXFix,{'N': 40},RAW,0.1517,20.1545
VIXFix,{'N': 40},STATE_MACHINE,0.4721,67.6777
VIXFix,{'N': 50},RAW,0.092,12.7177
VIXFix,{'N': 50},STATE_MACHINE,0.4721,67.6777
VIXFix,{'N': 60},RAW,0.1455,20.8831
VIXFix,{'N': 60},STATE_MACHINE,0.4721,67.6777
