Factor,Parameters,Mode,SharpRatio,POT
PriceOiDivergence,{'N': 10},RAW,0.2174,11.42
PriceOiDivergence,{'N': 10},STATE_MACHINE,0.2256,5.833
PriceOiDivergence,{'N': 20},RAW,-0.0819,-5.9716
PriceOiDivergence,{'N': 20},STATE_MACHINE,-0.1374,-4.9169
PriceOiDivergence,{'N': 30},RAW,-0.1455,-14.8383
PriceOiDivergence,{'N': 30},STATE_MACHINE,-0.0056,-0.2778
PriceOiDivergence,{'N': 40},RAW,-0.4219,-43.4054
PriceOiDivergence,{'N': 40},STATE_MACHINE,-0.3153,-18.5106
PriceOiDivergence,{'N': 50},RAW,-0.0461,-5.3815
PriceOiDivergence,{'N': 50},STATE_MACHINE,0.1491,8.2286
PriceOiDivergence,{'N': 60},RAW,-0.3862,-44.7758
PriceOiDivergence,{'N': 60},STATE_MACHINE,-0.5244,-33.8226
