trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,5.213547608860807,
20100119,10.194637811904323,
20100120,13.322841075352374,
20100121,20.048283778552282,
20100122,23.629003688949503,
20100125,9.835161892657586,
20100126,2.4322819869805055,
20100127,-5.100420957495919,
20100128,-8.368467895681803,
20100129,-7.869137275991849,
20100201,-8.366274951005323,
20100202,5.3225398360342515,
20100203,10.653472265910152,
20100204,14.768482429160208,
20100205,2.097712537716441,
20100208,-9.409249743054701,
20100209,-22.822177357622746,
20100210,-35.18174506506145,
20100211,-50.031928580014295,
20100212,-67.24412792832028,
20100222,-74.59595672274747,
20100223,-79.35848144987214,
20100224,-78.49347995722532,
20100225,-76.89595068540758,
20100226,-57.6292718173962,
20100301,-42.30144446173754,
20100302,-26.486790136292637,
20100303,-17.38462121809455,
20100304,-8.619375972386134,
20100305,1.3430774290080514,
20100308,10.352367244680003,
20100309,14.479733253857292,
20100310,13.789663753732086,
20100311,11.801728810258403,
20100312,9.767398330811721,
20100315,15.274893095490528,
20100316,15.34563008764642,
20100317,10.405900694188306,
20100318,8.002760365098466,
20100319,6.1523224447187905,
20100322,10.167281210267362,
20100323,10.781133011892466,
20100324,15.98212936524472,
20100325,23.492597562576965,
20100326,28.06495110709638,
20100329,22.2677625275385,
20100330,20.02579697995401,
20100331,15.102473582394198,
20100401,2.2335233578005385,
20100402,-8.552103588581923,
20100406,-11.17503914856766,
20100407,-22.871699961031094,
20100408,-42.10298800917734,
20100409,-63.65545921550271,
20100412,-82.0579782350471,
20100413,-92.7271927906529,
20100414,-98.84195717429375,
20100415,-110.265751287584,
20100416,-115.1360975676706,
20100419,-128.79845795674456,
20100420,-144.41555409234772,
20100421,-158.96225289885987,
20100422,-167.7930907854779,
20100423,-170.22669902533744,
20100426,-142.24187714233773,
20100427,-121.79550512082336,
20100428,-109.51605386523416,
20100429,-101.97740604606857,
20100430,-100.39838718457622,
20100504,-65.6307146921185,
20100505,-32.94064889284446,
20100506,-1.8596237330087173,
20100507,19.98480207410136,
20100510,35.59259311178644,
