trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,-13.330838384903359,
20100201,-24.47105753664752,
20100202,-34.40700215968648,
20100203,-42.301447709095285,
20100204,-48.67537154009285,
20100205,-51.765613758693085,
20100208,-55.9156733164058,
20100209,-59.12906703821999,
20100210,-62.61571363741541,
20100211,-65.72152143799208,
20100212,-68.01723543722373,
20100222,-42.72799589085678,
20100223,-22.068877983112895,
20100224,-5.266715608152962,
20100225,-17.116716952122857,
20100226,-1.02848972284038,
20100301,12.18837417788511,
20100302,23.165417821989447,
20100303,31.653793014085192,
20100304,38.774954368593875,
20100305,44.80337594608073,
20100308,49.73995913289468,
20100309,54.022257827278466,
20100310,57.67391287320047,
20100311,60.41861317323296,
20100312,66.97765566321834,
20100315,71.9984163893395,
20100316,76.15257671882581,
20100317,78.90958265989322,
20100318,80.91706867128244,
20100319,82.69890936398009,
20100322,49.58508338470036,
20100323,22.430260011355937,
20100324,-0.10852669054359591,
20100325,-18.824982878677673,
20100326,-35.406084716651094,
20100329,-48.679923305133556,
20100330,-59.52666288600507,
20100331,-70.90230276733881,
20100401,-80.1326523412215,
20100402,-44.1466328999317,
20100406,-14.692705461726003,
20100407,10.626140509176956,
20100408,31.332888327631544,
20100409,50.21822681609195,
20100412,65.4095786308739,
20100413,77.77553601493642,
20100414,88.05217262663999,
20100415,99.17859465250649,
20100416,109.142966996806,
20100419,112.79877981891867,
20100420,118.40750703270895,
20100421,122.8410495523397,
20100422,126.64755842539824,
20100423,130.69705827575896,
20100426,131.69461962287073,
20100427,132.67481202751412,
20100428,132.7665310249454,
20100429,133.3772974141227,
20100430,133.72381047187395,
20100504,134.46456359109345,
20100505,134.5381050689886,
20100506,135.0661913234551,
20100507,130.79874707726947,
20100510,126.98591018567873,
20100511,123.49359312946078,
20100512,120.00783805446018,
20100513,117.19604088120532,
20100514,114.96503417124316,
