trade_date,dailyPnl,NonFerrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,-1.7857853560795869,-1.7857853560795869,-1.7857853560795869
20100108,-1.2769942879197147,-1.2769942879197147,-3.062779643999302
20100111,2.9027365536800414,2.9027365536800414,-0.16004309031926045
20100112,-0.43642731605648916,-0.43642731605648916,-0.5964704063757496
20100113,-2.845833076060397,-2.845833076060397,-3.4423034824361465
20100114,1.0359153950191087,1.0359153950191087,-2.406388087417038
20100115,-0.18560482095086409,-0.18560482095086409,-2.591992908367902
20100118,0.35103962822686147,0.35103962822686147,-2.240953280141041
20100119,0.5888915728989307,0.5888915728989307,-1.65206170724211
20100120,-0.9297161512144363,-0.9297161512144363,-2.5817778584565465
20100121,0.05361557467283241,0.05361557467283241,-2.528162283783714
20100122,-1.5911688338578411,-1.5911688338578411,-4.119331117641555
20100125,0.5761783354238215,0.5761783354238215,-3.5431527822177333
20100126,-0.48326034226309045,-0.48326034226309045,-4.026413124480824
20100127,0.0811058960711032,0.0811058960711032,-3.9453072284097206
20100128,-0.0836794973760467,-0.0836794973760467,-4.028986725785767
20100129,0.25193795043377787,0.25193795043377787,-3.7770487753519895
20100201,0.08796913889699313,0.08796913889699313,-3.6890796364549963
20100202,0.0268508247129991,0.0268508247129991,-3.662228811741997
20100203,-0.8787191866821756,-0.8787191866821756,-4.540947998424173
20100204,0.9433574979159354,0.9433574979159354,-3.5975905005082374
20100205,1.1359947970797695,1.1359947970797695,-2.461595703428468
20100208,-0.2994724968570604,-0.2994724968570604,-2.7610682002855285
20100209,-0.5380049888334336,-0.5380049888334336,-3.299073189118962
20100210,-0.950864794831325,-0.950864794831325,-4.2499379839502875
20100211,-0.38635163758175123,-0.38635163758175123,-4.636289621532039
20100212,-0.8308502366844711,-0.8308502366844711,-5.46713985821651
20100222,-1.5416859593119048,-1.5416859593119048,-7.008825817528415
20100223,-0.014049611505931188,-0.014049611505931188,-7.022875429034346
