,dailyPnl,NonFerrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,-0.9660786754168047,-0.9660786754168047,-0.9660786754168047
20100111,1.7621019987825621,1.7621019987825621,0.7960233233657574
20100112,-0.2544911393472051,-0.2544911393472051,0.5415321840185523
20100113,-1.5669918041761248,-1.5669918041761248,-1.0254596201575725
20100114,0.5896381436117109,0.5896381436117109,-0.4358214765458617
20100115,-0.10302446140256494,-0.10302446140256494,-0.5388459379484266
20100118,0.18814247531378983,0.18814247531378983,-0.3507034626346368
20100119,0.31028759409444456,0.31028759409444456,-0.040415868540192246
20100120,-0.4804044333499625,-0.4804044333499625,-0.5208203018901547
20100121,0.02708810260503594,0.02708810260503594,-0.4937321992851188
20100122,-0.8141509391670847,-0.8141509391670847,-1.3078831384522034
20100125,0.29795477722462754,0.29795477722462754,-1.0099283612275758
20100126,-0.40818400546099265,-0.40818400546099265,-1.4181123666885684
20100127,0.0844671046617818,0.0844671046617818,-1.3336452620267867
20100128,-0.35063752363344386,-0.35063752363344386,-1.6842827856602305
20100129,-0.041828618203201134,-0.041828618203201134,-1.7261114038634315
20100201,0.0161551479530244,0.0161551479530244,-1.7099562559104071
20100202,0.009308190623990114,0.009308190623990114,-1.700648065286417
20100203,-0.3635757935997133,-0.3635757935997133,-2.0642238588861304
20100204,0.4221264106074154,0.4221264106074154,-1.642097448278715
20100205,0.5344375594475861,0.5344375594475861,-1.1076598888311289
20100208,-0.1462713432386879,-0.1462713432386879,-1.2539312320698168
20100209,-0.2577581607650698,-0.2577581607650698,-1.5116893928348867
20100210,-0.4693933224899331,-0.4693933224899331,-1.9810827153248198
20100211,-0.193904190926526,-0.193904190926526,-2.1749869062513456
20100212,-0.41102224719134184,-0.41102224719134184,-2.5860091534426877
20100222,-0.7810826442030593,-0.7810826442030593,-3.367091797645747
20100223,-0.005491202914404557,-0.005491202914404557,-3.3725830005601516
