Factor,Parameters,Mode,SharpRatio,POT
NoiseFader,{'N': 10},RAW,-0.8808,-14.1168
NoiseFader,{'N': 10},STATE_MACHINE,-0.845,-17.0605
NoiseFader,{'N': 20},RAW,-0.8646,-18.5591
NoiseFader,{'N': 20},STATE_MACHINE,-0.8509,-21.6894
NoiseFader,{'N': 30},RAW,-0.9014,-22.5663
NoiseFader,{'N': 30},STATE_MACHINE,-0.882,-25.5097
NoiseFader,{'N': 40},RAW,-0.6948,-19.2903
NoiseFader,{'N': 40},STATE_MACHINE,-0.7077,-21.9669
NoiseFader,{'N': 50},RAW,-0.4476,-12.6579
NoiseFader,{'N': 50},STATE_MACHINE,-0.4716,-14.5826
NoiseFader,{'N': 60},RAW,-0.3598,-10.426
NoiseFader,{'N': 60},STATE_MACHINE,-0.3708,-11.6358
