Factor,Parameters,Mode,SharpRatio,POT
OvernightVsIntraday,{'N': 10},RAW,0.5688,15.4805
OvernightVsIntraday,{'N': 10},STATE_MACHINE,0.6452,11.4396
OvernightVsIntraday,{'N': 20},RAW,0.5822,20.2948
OvernightVsIntraday,{'N': 20},STATE_MACHINE,0.7766,17.9138
OvernightVsIntraday,{'N': 30},RAW,0.2095,7.9868
OvernightVsIntraday,{'N': 30},STATE_MACHINE,0.4987,13.2506
OvernightVsIntraday,{'N': 40},RAW,0.1379,5.7923
OvernightVsIntraday,{'N': 40},STATE_MACHINE,0.2978,8.5101
OvernightVsIntraday,{'N': 50},RAW,0.2463,10.3484
OvernightVsIntraday,{'N': 50},STATE_MACHINE,0.278,8.0816
OvernightVsIntraday,{'N': 60},RAW,0.2552,11.1872
OvernightVsIntraday,{'N': 60},STATE_MACHINE,0.3794,11.3632
