Factor,Parameters,Mode,SharpRatio,POT
HistoricalVolatility,{'N': 10},RAW,0.103,11.5945
HistoricalVolatility,{'N': 10},STATE_MACHINE,0.0005,0.0505
HistoricalVolatility,{'N': 20},RAW,0.096,21.3018
HistoricalVolatility,{'N': 20},STATE_MACHINE,0.0002,0.0223
HistoricalVolatility,{'N': 30},RAW,0.0819,11.2205
HistoricalVolatility,{'N': 30},STATE_MACHINE,-0.0108,-1.0911
HistoricalVolatility,{'N': 40},RAW,0.0749,9.8476
HistoricalVolatility,{'N': 40},STATE_MACHINE,-0.008,-0.8111
HistoricalVolatility,{'N': 50},RAW,0.1062,13.6529
HistoricalVolatility,{'N': 50},STATE_MACHINE,-0.0055,-0.5522
HistoricalVolatility,{'N': 60},RAW,0.1207,15.2979
HistoricalVolatility,{'N': 60},STATE_MACHINE,-0.0057,-0.571
