trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,-0.04434760857138007,-0.027368986110970106
20100309,-0.0733920713749491,-0.04503298732294994
20100310,-0.10280442774763612,-0.06100344312605972
20100311,-0.11896854757927222,-0.06823461892969523
20100312,-0.12808991913204437,-0.06016617189884218
20100315,-0.13920965709346722,-0.06517880969957691
20100316,-0.14225478985159798,-0.06405220862053342
20100317,-0.1497354705377694,-0.047410958881641735
20100318,-0.1481463334563284,-0.028128096831734797
20100319,-0.14367251041006013,-0.012482390587367555
20100322,-0.1534331302351876,0.0008104663583090542
20100323,-0.16388958790254896,0.008165498328017847
20100324,-0.1666365185951718,0.028594953533598595
20100325,-0.17368628165492134,0.028879019292418005
20100326,-0.19472277665537127,0.0386301286088131
20100329,-0.21293142150748742,0.04484031265819506
20100330,-0.22931906717163533,0.04981943726181323
20100331,-0.24374357887962955,0.05537355956673006
20100401,-0.2722165898966265,0.06621392159260997
20100402,-0.2900732877925319,0.08019632979548456
20100406,-0.30515003988126055,0.09430989512680038
20100407,-0.32147270011073803,0.10793444321578143
20100408,-0.3328372254284429,0.12143869104377349
20100409,-0.34620258962203637,0.13811919766042552
20100412,-0.3734202665398166,0.14497508487087093
20100413,-0.4004709755007888,0.14381414428173425
20100414,-0.41717509025853233,0.13788066089360382
20100415,-0.4231278070315314,0.11602101429839569
20100416,-0.42747818128599196,0.09883596081474454
20100419,-0.44452960453030504,0.08627952786102465
20100420,-0.396597551491199,0.09205251191036452
20100421,-0.36707816687130185,0.0809386192743204
20100422,-0.33989886505683903,0.07134270839596638
20100423,-0.30576939632368444,0.06881220362821525
20100426,-0.28729374800196417,0.05807586095868848
20100427,-0.25692122578083865,0.05619574001248658
20100428,-0.2069680055783865,0.06719810328048392
20100429,-0.17113484987804106,0.07835731703761899
20100430,-0.124052932981237,0.08458668793942592
20100504,-0.09096877096132236,0.0778621801975233
20100505,-0.054768051516770666,0.08099392318018676
20100506,-0.0448387421494808,0.0807604183811405
