Factor,Parameters,Mode,SharpRatio,POT
Skewness,{'N': 10},RAW,-0.3376,-7.0989
Skewness,{'N': 10},STATE_MACHINE,-0.4737,-8.5643
Skewness,{'N': 20},RAW,0.2279,7.9506
Skewness,{'N': 20},STATE_MACHINE,0.0072,0.2032
Skewness,{'N': 30},RAW,0.0875,3.6387
Skewness,{'N': 30},STATE_MACHINE,-0.0213,-0.7192
Skewness,{'N': 40},RAW,0.1587,7.2593
Skewness,{'N': 40},STATE_MACHINE,0.1445,5.5536
Skewness,{'N': 50},RAW,0.1281,6.5643
Skewness,{'N': 50},STATE_MACHINE,0.1296,5.3914
Skewness,{'N': 60},RAW,0.2003,11.3426
Skewness,{'N': 60},STATE_MACHINE,0.121,5.5444
