Factor,Parameters,Mode,SharpRatio,POT
VolumeMomentum,{'N': 10},RAW,0.0377,0.6101
VolumeMomentum,{'N': 10},STATE_MACHINE,-0.1809,-2.2206
VolumeMomentum,{'N': 20},RAW,-0.0299,-0.7176
VolumeMomentum,{'N': 20},STATE_MACHINE,-0.2827,-5.2538
VolumeMomentum,{'N': 30},RAW,-0.0896,-2.9784
VolumeMomentum,{'N': 30},STATE_MACHINE,-0.2546,-6.8766
VolumeMomentum,{'N': 40},RAW,0.0681,2.8627
VolumeMomentum,{'N': 40},STATE_MACHINE,-0.0308,-1.0924
VolumeMomentum,{'N': 50},RAW,-0.0076,-0.3884
VolumeMomentum,{'N': 50},STATE_MACHINE,-0.1956,-8.7177
VolumeMomentum,{'N': 60},RAW,-0.0053,-0.3354
VolumeMomentum,{'N': 60},STATE_MACHINE,-0.2101,-11.612
