trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,-17.28361466719894,-10.480399063844445
20100202,-30.99069357635575,-18.80832492101938
20100203,-40.78308798726547,-24.82210221670109
20100204,-17.24049587520618,-29.865561489512842
20100205,1.9316518137865648,-34.67448576506862
20100208,17.26056468554513,-38.545756915019304
20100209,29.44898961378026,-41.814296931504664
20100210,40.65685485910743,-23.943317129191776
20100211,49.80578530234896,-9.24949081428478
20100212,57.47886787464124,2.929918718949897
20100222,33.16309672562771,-7.690719349134986
20100223,13.30672480096328,3.7875697649983433
20100224,-3.4690063287646695,13.183473894128968
20100225,-17.15173803294983,21.81720800040823
20100226,-27.515262895137955,29.23236142740982
20100301,-35.99000870148091,35.28741745483788
20100302,-44.15376555688125,40.032030888491576
20100303,-50.610045492790185,44.09197369570951
20100304,-55.698510278514036,49.34735283430349
20100305,-59.895900779282584,53.54261163404034
20100308,-63.360992217263764,56.99480444473814
20100309,-66.59754926036547,59.86827940922925
20100310,-69.32767680579352,62.28040574950394
20100311,-71.2770437114751,62.71026617012872
20100312,-72.9659026218127,63.251951291590764
20100315,-75.2036439339954,39.98586668266243
20100316,-77.11103854982272,21.052548003620913
20100317,-78.94034386260914,3.287684818555951
20100318,-80.3210830805194,-10.685680214372303
20100319,-81.01227795207042,-22.3843250076736
20100322,-85.1097260355845,-4.370241592109737
20100323,-87.96223917881828,-16.42898820332957
20100324,-91.18889045550853,-0.5239051959447071
20100325,-94.68735323999478,-12.943969900417825
20100326,-100.32269540172925,1.65817716592763
20100329,-104.90109535422047,13.580139562106801
20100330,-62.13112902143767,23.514889105125466
20100331,-75.75007216127388,31.67486660797427
20100401,-87.83634079846593,38.178490577204926
20100402,-96.71252437898605,43.05128988651738
20100406,-104.11280299578918,47.22599539131448
20100407,-112.54411018308132,50.604445837791914
20100408,-120.83123587221502,54.31927920665339
20100409,-127.99006402217492,59.75388757241404
20100412,-134.1835874125116,63.946913545995564
20100413,-79.58129420977515,68.42570158046503
20100414,-95.4119390366364,72.220360573403
20100415,-109.50184687364468,75.13636432798872
20100416,-120.96954437977246,78.19656396448849
20100419,-136.01316396587583,79.09750308519824
20100420,-144.4913685430803,79.57380706330429
20100421,-148.75218327911313,82.59380018244329
20100422,-152.35453406446655,85.3481650379343
20100423,-155.38351703919778,87.92899707231052
20100426,-158.4584200515335,54.212493730531236
20100427,-161.05147314947718,26.68559996523567
20100428,-162.99181468655593,39.64711871792479
20100429,-101.48392117464938,49.89692127340883
