trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,14.359603830878752,13.19110045555818
20100309,26.50841480354396,24.031487090565854
20100310,36.52942403861078,32.961135359705025
20100311,44.44341362324123,38.722937891350064
20100312,51.011987212290265,19.73555261154213
20100315,57.24193376664298,4.382698589969448
20100316,62.415484959588454,-8.076541588264556
20100317,66.91697089978096,-20.544687747770194
20100318,70.48395317191464,-30.184546771205135
20100319,72.9638344252538,-38.33771057619467
20100322,78.52471440335775,-45.310831440207686
20100323,82.57455495471865,-49.92550762790386
20100324,86.78082036936668,-53.76570347234449
20100325,91.08077399758511,-56.505156710015996
20100326,97.37187360802305,-58.47988620981614
20100329,102.48679716942848,-60.070425520424976
20100330,107.54926698132644,-61.552259733160696
20100331,112.91025809740212,-62.79626058294368
20100401,118.24005648688865,-63.641388310513435
20100402,121.5882430235555,-63.88452903335034
20100406,124.46563107959237,-64.27134555155257
20100407,129.19640222975593,-64.55062313253357
20100408,134.45582383567827,-65.72977565805368
20100409,139.13744438705612,-69.0897401087981
20100412,143.30416479576778,-71.58533286153371
20100413,147.45400597978983,-74.67531371100442
20100414,150.94413105382125,-77.33367713046098
20100415,154.93725882984762,-79.31998531958415
20100416,158.14396037734232,-81.61952549211038
20100419,166.42858722592285,-81.89810723382247
20100420,169.3767094842284,-81.86520996386021
20100421,169.1129131866269,-84.46858404326511
20100422,169.01331067662386,-86.88207888460748
20100423,169.0134235677436,-89.18401734419172
20100426,169.61016067982675,-90.69814043496399
20100427,170.17562385173935,-91.87763680264757
20100428,170.45702841492061,-92.98605450052221
20100429,171.3378451151743,-93.53786642372438
20100430,172.194129118353,-94.81826228648542
20100504,174.7129588731811,-95.6693246874322
20100505,175.64687139024932,-96.36643284896847
20100506,176.64846656851068,-97.08667990678723
20100507,176.49772110804477,-96.44653940354141
20100510,176.01220641706402,-94.46601231306025
20100511,175.45424314794226,-93.56508208669166
20100512,175.01881894495827,-92.15493030465586
20100513,173.35022555487794,-90.90193160351393
