Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
VIXFix,{'N': 40},3,-0.1147,-10.1776,-0.0513,-5.0979
CMF,{'N': 50},1,0.5292,30.016,0.5029,21.5296
CMF,{'N': 40},2,0.4895,25.8249,0.2749,10.8791
CMF,{'N': 60},3,0.447,26.8494,0.3521,15.6977
OBV,{'N': 30},1,0.7571,124.9229,0.3465,10.9944
OBV,{'N': 20},2,0.2147,23.9187,0.4528,12.1466
OBV,{'N': 40},3,0.1801,15.217,0.2847,10.5146
OpenInterestROC,{'N': 10},1,0.1788,4.7478,-0.1723,-3.7714
OpenInterestROC,{'N': 20},2,-0.2099,-7.7048,-0.3298,-10.5078
OpenInterestROC,{'N': 60},3,-0.3058,-22.4728,-0.2567,-15.1024
PriceOiDivergence,{'N': 10},1,0.0732,2.4032,-0.2554,-4.4959
PriceOiDivergence,{'N': 20},2,0.0177,0.7761,0.0813,2.1095
PriceOiDivergence,{'N': 30},3,-0.026,-1.4265,0.1207,3.9942
PriceVolumeCorrelation,{'N': 20},1,-0.087,-3.3338,-0.1044,-3.4388
PriceVolumeCorrelation,{'N': 50},2,-0.1054,-5.7918,0.1371,6.7335
PriceVolumeCorrelation,{'N': 60},3,-0.121,-7.1705,0.0799,4.1273
VolumeMomentum,{'N': 40},1,0.0681,2.8627,-0.0308,-1.0924
VolumeMomentum,{'N': 10},2,0.0377,0.6101,-0.1809,-2.2206
VolumeMomentum,{'N': 60},3,-0.0053,-0.3354,-0.2101,-11.612
