trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,-15.295985985565752,-13.641623167803795
20100322,-31.342491963010495,-25.105182694224048
20100323,-43.97129505222111,-33.39377449418082
20100324,-55.196587120767916,-40.239847971594
20100325,-25.081800720738357,-45.43861994187314
20100326,2.3302748927716856,-49.42549541970309
20100329,24.72582910711716,-52.66231999009699
20100330,43.92688433492063,-55.49110416269759
20100331,60.855733736938255,-57.83714781206953
20100401,75.65009308703068,-59.58394212303632
20100402,86.7419776040692,-60.56480683855311
20100406,95.95509598394766,-61.55521356428861
20100407,105.86963138175466,-62.32833623938048
20100408,115.3703045311084,-63.911542878388836
20100409,123.52203321133032,-67.6020964133577
20100412,130.52792846599684,-70.36817071232397
20100413,137.00072785367936,-73.67945435603804
20100414,142.39145306336175,-76.5188835045706
20100415,147.93961595443182,-78.65333625159559
20100416,152.4186180495586,-81.07408552115363
20100419,161.74421746421393,-81.45183828421257
20100420,165.54404414145614,-81.50008090195172
20100421,165.97709664086915,-84.16984213619283
20100422,166.4476429638368,-86.63765372317108
20100423,166.91424114140173,-88.9840331448015
20100426,167.89264795140065,-90.53451701489975
20100427,168.77038627587118,-91.74376310589946
20100428,169.30728865444252,-92.87652148299071
20100429,170.3971489972639,-93.4482485050294
20100430,171.42446869155054,-94.74493853799889
20100504,174.08323672809308,-95.60933253170364
20100505,175.1316441955571,-96.31734835933975
20100506,176.226917055572,-97.04651987077011
20100507,176.1528169677833,-96.41368119289187
20100510,175.73001212496382,-94.43912832295537
20100511,175.22335691194843,-93.54308609507322
20100512,174.8299120266061,-92.13693358443192
20100513,173.1956653502966,-90.88720701436775
20100514,171.99112439454834,-89.50566360335696
20100517,171.02747450607623,-86.71721790171289
20100518,167.2065004774767,-84.20816936666081
