Factor,Parameters,Mode,SharpRatio,POT
HistoricalVolatility,{'N': 10},RAW,0.3268,76.0484
HistoricalVolatility,{'N': 10},STATE_MACHINE,0.0845,16.4761
HistoricalVolatility,{'N': 20},RAW,0.3605,156.1338
HistoricalVolatility,{'N': 20},STATE_MACHINE,0.0933,18.1749
HistoricalVolatility,{'N': 30},RAW,0.3718,104.5763
HistoricalVolatility,{'N': 30},STATE_MACHINE,0.0942,18.3644
HistoricalVolatility,{'N': 40},RAW,0.3877,104.2359
HistoricalVolatility,{'N': 40},STATE_MACHINE,0.1043,20.3843
HistoricalVolatility,{'N': 50},RAW,0.3797,100.469
HistoricalVolatility,{'N': 50},STATE_MACHINE,0.11,21.5029
HistoricalVolatility,{'N': 60},RAW,0.3771,99.5196
HistoricalVolatility,{'N': 60},STATE_MACHINE,0.1145,22.4297
