Factor,Parameters,Mode,SharpRatio,POT
VIXFix,{'N': 10},RAW,0.0558,6.6849
VIXFix,{'N': 10},STATE_MACHINE,0.0706,13.6495
VIXFix,{'N': 20},RAW,-0.015,-2.1182
VIXFix,{'N': 20},STATE_MACHINE,0.0706,13.6495
VIXFix,{'N': 30},RAW,0.0059,0.9112
VIXFix,{'N': 30},STATE_MACHINE,0.0706,13.6495
VIXFix,{'N': 40},RAW,0.0213,3.5199
VIXFix,{'N': 40},STATE_MACHINE,0.0706,13.6495
VIXFix,{'N': 50},RAW,0.0026,0.4437
VIXFix,{'N': 50},STATE_MACHINE,0.0706,13.6495
VIXFix,{'N': 60},RAW,-0.0014,-0.2565
VIXFix,{'N': 60},STATE_MACHINE,0.0706,13.6495
