trade_date,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}","{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}","{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}","{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}","{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}"
20100104,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0
20100107,-8.127172617360706,-8.127172617360706,-8.127172617360706,-8.127172617360706,-8.127172617360706
20100108,-0.5946341474053146,-0.5946341474053146,-0.5946341474053146,-0.5946341474053146,-0.5946341474053146
20100111,0.4096741706031481,0.4096741706031481,0.4096741706031481,0.4096741706031481,0.4096741706031481
20100112,-0.0029026994244271197,-0.0029026994244271197,-0.0029026994244271197,-0.0029026994244271197,-0.0029026994244271197
20100113,0.3756069520086117,0.3756069520086117,0.3756069520086117,0.3756069520086117,0.3756069520086117
20100114,-0.10596743489132052,-0.10596743489132052,-0.10596743489132052,-0.10596743489132052,-0.10596743489132052
20100115,0.5997895224236335,0.5997895224236335,0.5997895224236335,0.5997895224236335,0.5997895224236335
20100118,-0.29895308989974956,-0.29895308989974956,-0.29895308989974956,-0.29895308989974956,-0.29895308989974956
20100119,0.16036794341849728,0.16036794341849728,0.16036794341849728,0.16036794341849728,0.16036794341849728
20100120,0.2443593714094171,0.2443593714094171,0.2443593714094171,0.2443593714094171,0.2443593714094171
20100121,0.176887780666374,0.176887780666374,0.176887780666374,0.176887780666374,0.176887780666374
20100122,1.0121611540821154,1.0121611540821154,1.0121611540821154,1.0121611540821154,1.0121611540821154
20100125,0.16902547782169794,0.16902547782169794,0.16902547782169794,0.16902547782169794,0.16902547782169794
20100126,0.23090134638575804,0.23090134638575804,0.23090134638575804,0.23090134638575804,0.23090134638575804
20100127,-0.9491820191290344,-0.9491820191290344,-0.9491820191290344,-0.9491820191290344,-0.9491820191290344
20100128,0.2516088619699947,0.43411618829539145,0.43411618829539145,0.43411618829539145,0.43411618829539145
20100129,-0.03397408896133823,-0.13639274618302472,-0.13639274618302472,-0.13639274618302472,-0.13639274618302472
20100201,-0.0009791227797428454,0.09976920293083116,0.09976920293083116,0.09976920293083116,0.09976920293083116
20100202,-0.5967734931658719,1.636678157228686,2.7868135360139616,2.7868135360139616,2.7868135360139616
20100203,-0.0006149833616851503,-0.2908175075595322,-0.44025982480592085,-0.44025982480592085,-0.44025982480592085
20100204,0.2435477674718426,0.97234529950068,1.3476459358093653,1.3476459358093653,1.3476459358093653
20100205,0.043528930236586,0.09928826910384948,0.12800202626872362,0.12800202626872362,0.12800202626872362
20100208,-0.20147156064814153,-0.35342621576575334,-0.43167658881099313,-0.43167658881099313,-0.43167658881099313
20100209,-0.34957350644718177,-0.522473294670848,-0.6115095464228798,-0.6115095464228798,-0.6115095464228798
20100210,-0.2452754947632352,-0.7909066218799333,-0.896701140798084,-0.896701140798084,-0.896701140798084
20100211,-0.01909146385341691,-0.3529311931400641,-0.6796171543334797,-0.6796171543334797,-0.6796171543334797
20100212,0.23214270979968002,-0.32707469621503316,-0.8743087722501894,-1.4025546971851168,-1.4025546971851168
20100222,-0.34414469665908687,0.007695676825235873,0.35199655091228443,0.6843507328845572,1.08052769608487
20100223,0.3860996088809441,0.15324446737423833,-0.0746208795228951,-0.29457966170326744,-0.8734529101417601
20100224,-0.3492680304254563,-0.20779072378907892,-0.06934509898486191,0.0642966830798923,0.6453724324866909
20100225,-0.5902950618880706,-0.4194004120463757,-0.25216782092954804,-0.09073793444693468,0.9479683828602973
20100226,0.074457369344087,0.05840811573483347,0.042702777568584226,0.02754238962974331,-0.10804759491794039
20100301,-0.08054262088133529,-0.06743087712050065,-0.05460010163855636,-0.042214533635922286,0.10798479615726603
20100302,-0.49916789341614176,-0.8096159693991221,-0.6961313784086051,-0.5865845220286374,1.1683039474894739
20100303,-0.045301603380659326,-0.19570397262631634,-0.17480638976587876,-0.15463391975634125,0.261754452940532
20100304,0.0019088541881812722,-0.018656630778714055,-0.03200563821393783,-0.02924732642133107,0.04389460708515546
20100305,-0.13077143071950303,0.09646327735969848,0.4633205509189292,0.4328430700331946,-0.5946856208486027
20100308,-0.16637207106952398,-0.0227204824502967,0.37660056043358503,0.3573335277546602,-0.4596459769722247
20100309,-0.022805499546599328,0.027617015577789346,0.16778094636222216,0.16101810958475854,-0.19693035439647658
20100310,0.036434639787213126,0.08994629106452684,0.23869736719175205,0.23152020511666982,-0.26963261415079715
20100311,0.02089475732046007,0.03096950469781082,0.05897517221729192,0.05762391332195278,-0.036729146825667205
20100312,0.06555028890533847,0.0820248070472904,0.12782048413438077,0.12561086652791006,-0.02867798488737941
20100315,0.028337329341449943,0.032824413818793786,0.0452975599233625,0.04469573710964313,0.002672832145290065
20100316,2.022997929415783,2.2431712851253676,2.855206660872181,2.8256762722404933,0.7636861204206727
20100317,-0.2991051357042603,-0.32398389530617133,-0.393141586671673,-0.3898047640241233,-0.15680764626070365
20100318,-0.5597955976954505,-0.5958442256973298,-0.6960517894744335,-0.6912168266284351,-0.3536105087025868
20100319,0.47003800222155906,0.49378260408437497,0.5597875767398117,0.556602871130662,0.33422748405344516
20100322,0.22471496187776735,0.23357413488350295,0.25820076266912534,0.25701254068390106,0.17404370264161712
20100323,-0.5566029268236948,-0.573695812807329,-0.6212104217475214,-0.6189178665729542,-0.45883781305856836
20100324,0.8083920734949537,0.8278620233339642,0.8819843671892678,0.8793729922409573,0.6970310158693026
20100325,0.41499034513291083,0.4228952491074076,0.444869210755406,0.44380897853198037,0.3697771589507162
20100326,-0.07163306148274329,-0.07270695026819508,-0.07569213403030847,-0.07554810046603183,-0.06549080678208527
20100329,0.41864096763259895,0.423622996306113,0.4374719826257725,0.4368037762370888,0.39014556899052155
20100330,-1.2321907136812549,-1.2438982000156649,-1.2764425366118808,-1.2748722892936208,-1.16522813436708
20100331,-0.09290984951084562,-0.15771063871315552,-0.16100465512813641,-0.16084572054894675,-0.14974794797438673
20100401,-0.014684397075628854,-0.03237958803897948,-0.054652191309489215,-0.05460879094717786,-0.051578315433035905
20100402,0.02189330517021791,0.260878330606265,0.9145422706416474,0.9139561206129536,0.873027584191361
20100406,-0.1808584021929153,0.04274810585566033,1.0570350109059263,1.0564865792170806,1.0181917651714183
20100407,0.029158283306655756,0.13424263444900156,0.6109089095926166,0.6106511729611062,0.5926544441484053
20100408,-0.22428657411968012,-0.36433912099234234,-0.9996223493365759,-0.9992788474614342,-0.9752934711594847
20100409,0.3842637748184142,0.5061233889109986,1.0588828408037703,1.0585839600845008,1.0377143024789273
20100412,0.3137042149007132,0.3761810975399333,0.659578412235072,0.6594251774184351,0.6487253967022948
20100413,0.13918930416403616,0.15826390521318262,0.24478695962716404,0.24474017603504625,0.24147346297491656
20100414,-0.47120682616397525,-0.5179399442975251,-0.7299229950982173,-0.7298083744499784,-0.7218048682715738
20100415,-0.735968132033536,-0.7858092402557592,-1.01189024229892,-1.0117679987944943,-1.0032322187411467
