trade_date,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}","{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}","{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}","{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}","{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}"
20100104,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0
20100107,-70.25120638860926,-68.87026277229943,-50.53878212059522,-32.183603564746036,-31.206437818044233
20100108,-3.9869113220877446,-4.404950504699259,-3.394803380778946,-2.23690467576848,-2.2840807146605804
20100111,-3.7424747997867955,-3.0921551630214417,-2.0136512823223174,-1.1472445804246585,-0.8908044848668389
20100112,0.7639266333401562,0.8786721400918811,0.678075196732185,0.4444491793442077,0.44780491558413343
20100113,13.041310755517689,18.082561092228794,15.073605101829664,10.436107843827115,11.39761991851789
20100114,-3.023842417069039,-4.218876219616484,-3.5877933410158342,-2.53120109097289,-2.8473867955749963
20100115,15.21336749759131,22.512129681377107,19.77779076024767,14.313360399485797,16.700674309846153
20100118,-7.8064228457172735,-11.789791134995495,-10.570585565813579,-7.790042231594458,-9.335646615838359
20100119,3.8385425453699518,6.2828491773335875,5.848063396330501,4.43140132339314,5.512074839441173
20100120,5.0882422093739965,9.231696621076376,8.993337722145151,7.042513753942611,9.136020454104191
20100121,3.154095461206113,6.3610356542189175,6.50086553711155,5.269676970265851,7.134667788295553
20100122,15.1694348865974,34.180123563876776,36.73335581309192,30.869701694688708,43.633854274113176
20100125,2.4950502118774978,5.671447455323971,6.263268184729151,5.394060056350666,7.864114271997114
20100126,3.3745956773410164,7.735661857880286,8.755769364941173,7.716210358291294,11.579781184732411
20100127,-13.218971775769148,-31.327289415966497,-36.49189267670904,-32.966664308090046,-50.97333422490112
20100128,4.4079773615650435,12.823352910224344,15.946940564229719,15.015486720313433,24.232258110328342
20100129,-0.8571651775116331,-3.44173736805348,-4.657561026075623,-4.610391531765684,-7.810458682111029
20100201,0.22857147911685483,2.009069786553296,3.060296735559836,3.2240819264079836,5.774675683764626
20100202,-3.3111475639259647,41.495787240801235,74.50905321183832,84.60092068829934,161.10183751048825
20100203,-0.3896545446479453,-6.477487232232876,-11.521553860200514,-13.328177501597324,-25.980776856299492
20100204,3.993313496864812,20.48389492369793,35.20320404215218,41.105070338363866,81.55227440038428
20100205,0.8259099270110154,2.2447322803813887,3.5158976741100507,4.0487096303343195,8.062478160506496
20100208,-3.8371671468604616,-8.523781423623326,-12.497103978800656,-14.204441220166908,-28.34510666736388
20100209,-5.363956237693207,-12.29323568621199,-17.91506082691714,-20.51262085465455,-41.50374001344433
20100210,-5.316226544558242,-15.968549092029589,-24.895049406994172,-29.582530144287194,-61.77373760258745
20100211,-0.3269540691321108,-8.439844181283618,-16.195948840685784,-20.965512208259664,-46.41417279045229
20100212,8.534475173307953,-6.859041687910517,-25.219588655904808,-38.28888632391031,-92.59040496717995
20100222,-15.01749190456577,-5.361108995597587,10.771930079470478,23.895644305671684,66.67285744485818
20100223,16.166807634742167,11.47314636536383,-2.2085629209673496,-14.779928981537946,-49.56830671985785
20100224,-14.222478748599926,-13.369741511772112,-3.168800346056854,7.372349467025035,32.86548061379336
20100225,-21.747682677031655,-24.715801940743802,-10.555295047597971,6.04924143605995,42.59520041405143
20100226,2.2404702243058927,3.0381010012562863,1.635504497464225,-0.27211692943764126,-4.275176220983364
20100301,-1.894976157079222,-3.0647539720653834,-1.92926812371243,-0.07623942383688644,3.7141348923451303
20100302,-16.592828414741962,-32.00053464045723,-22.734796899432908,-3.786833579395873,34.648891975777296
20100303,-2.4829700182157977,-6.307764395869586,-4.986517331562797,-1.1656859288298578,6.833315127275526
20100304,-0.20302666980456816,-0.8568701607657575,-0.7613559681303594,-0.21008421179791942,1.023726323284855
20100305,0.5182048596294222,8.890089204232446,9.006127964785383,2.749458019494676,-12.582366689186543
20100308,-0.23597662831443383,5.493962045304829,6.260913078504477,2.1507663674782656,-8.736354644433817
20100309,0.024667234084393422,2.1240885611016416,2.5858910863600046,1.0306826807806626,-3.257479929763699
20100310,0.5865030926147594,2.9560841268452815,3.6540939012170472,1.7447445011888678,-3.5160252447134286
20100311,0.299017730596744,0.7961199933395465,0.9570776395643198,0.524212472315643,-0.6073815337365268
20100312,0.9359747686802155,1.9326347648490714,2.2546614549023385,1.3739215516663006,-0.7306961006560941
20100315,0.40027547889156373,0.7560275530714716,0.8663909133573438,0.5695145026856228,-0.06617706299193012
20100316,27.34580446778955,51.09647714735918,58.37997938388782,40.70409225139442,7.1904556482927235
20100317,-5.234770027379976,-8.619358439415352,-9.344087276720673,-6.698205787388651,-2.7850696600342455
20100318,-11.36251956345604,-18.151140045411147,-19.132015021017217,-14.07813326961263,-8.578308788808997
20100319,9.42212599942477,15.899957538051837,16.883667022804325,12.82174207250492,9.713731886035932
20100322,4.252277421785769,7.7259251011161405,8.37054756034052,6.575943291981389,5.839296910060132
20100323,-9.635147626966996,-19.03091299863365,-21.215313820465106,-17.261810239103017,-17.318367829568697
20100324,11.439729576515669,25.97890189826844,30.392019963615635,25.764239388234724,28.530659804741767
20100325,4.943990818138557,12.548438916613767,15.350169117573632,13.519561740570198,16.236520656042156
20100326,-0.7470247799988414,-2.0491331481158945,-2.609710708140393,-2.3834174927466747,-3.0739530359131844
20100329,3.7070391361498207,11.169297565891341,14.868183446486045,14.084663195322541,19.337895679446834
20100330,-9.435728331874383,-30.664701228138362,-42.55979263353735,-41.74764749125949,-60.58548278665003
20100331,-0.7170368375782278,-3.317567564278554,-5.020538679863514,-5.183272583886044,-7.999643419961684
20100401,-0.056562766063691955,-0.8861798025329919,-1.5326870178389593,-1.6888905033152322,-2.7822989620928067
20100402,-1.8578720951860008,10.611969793397986,22.338703556065088,26.623764294616073,46.93866348302021
20100406,-3.479760617352923,8.747054776777569,22.64704074275474,29.07094218995501,54.49227852681411
20100407,-1.5379696978241493,4.20979902807159,12.003733773075485,16.18982998779726,31.79065527753205
20100408,0.6702013050948836,-6.9457046756311875,-18.880785913478565,-26.039078657854493,-52.82414122805648
20100409,-0.2613841398643751,6.689805599891403,18.788176352744372,26.81532208920661,56.37394329438547
20100412,0.3993380524553935,4.158714361984298,11.255005408567376,16.38498848715734,35.43559328451593
20100413,0.47040065757844574,1.7131655536055022,4.148918681261705,6.043379301510777,13.323956351539469
20100414,-2.2572954856635836,-5.76309647221994,-12.470625022436705,-18.02622869023817,-40.323714567595424
20100415,-2.716700142896364,-7.69701255104185,-16.56102851047072,-24.453831799829654,-56.40826650053949
20100416,0.07943919313445132,2.9997905103256834,8.186885629854075,13.08718445928811,31.76888944126599
20100419,5.485910651836166,-7.051213315041746,-31.827265358592975,-56.728388047329524,-146.01092317415927
20100420,-3.7928295947264195,-1.1873457073472309,5.06519917144639,11.652502817480448,32.84459341912739
20100421,3.726005583806309,2.6084127426048407,-1.5688785353674686,-6.254890099037685,-19.890760642414854
20100422,9.049681773461431,8.429182908345075,0.35863147592630645,-9.420093156104542,-35.397327452874144
