trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.036965024282066807,0.0,0.0,0.0,0.0,0.0
20100120,0.09229744485759586,0.0,0.0,0.0,0.0,0.0
20100121,0.08884227526007812,0.0,0.0,0.0,0.0,0.0
20100122,0.5605048966464264,0.0,0.0,0.0,0.0,0.0
20100125,0.10614233563923245,0.0,0.0,0.0,0.0,0.0
20100126,0.15361456937030812,0.0,0.0,0.0,0.0,0.0
20100127,-0.6642659534250331,0.0,0.0,0.0,0.0,0.0
20100128,0.22726109236972533,0.0,0.0,0.0,0.0,0.0
20100129,-0.05020900634344933,0.0,0.0,0.0,0.0,0.0
20100201,0.02425688264391541,0.0,0.0,0.0,0.0,0.0
20100202,0.35941936610125763,0.18482606209441493,0.0,0.0,0.0,0.0
20100203,-0.08354722273499374,-0.06620689548690319,0.0,0.0,0.0,0.0
20100204,0.335983135127422,0.3076000161740471,0.0,0.0,0.0,0.0
20100205,0.03640330706994932,0.035649313699928846,0.0,0.0,0.0,0.0
20100208,-0.13441005671587775,-0.1391199355125889,0.0,0.0,0.0,0.0
20100209,-0.20816091888372368,-0.21917820614852818,0.0,0.0,0.0,0.0
20100210,-0.3226880233179761,-0.3431625787581545,0.0,0.0,0.0,0.0
20100211,-0.28752225739260984,-0.26535246223808406,0.0,0.0,0.0,0.0
20100212,-0.6672794383660313,-0.5596737796833731,0.0,0.0,0.0,0.0
20100222,0.5343329256113631,0.4227409628780003,0.0,0.0,0.0,0.0
20100223,-0.45122218491882854,-0.34301998592846256,-0.07374348636738287,0.0,0.0,0.0
20100224,0.29027998404118727,0.2526956321387125,0.09627252670549735,0.0,0.0,0.0
