Factor,Parameters,Mode,SharpRatio,POT
DonchianChannel,{'N': 10},RAW,0.9746,42.8391
DonchianChannel,{'N': 10},STATE_MACHINE,1.0258,39.6595
DonchianChannel,{'N': 20},RAW,1.0021,60.8132
DonchianChannel,{'N': 20},STATE_MACHINE,0.9769,54.2162
DonchianChannel,{'N': 30},RAW,1.0195,73.4774
DonchianChannel,{'N': 30},STATE_MACHINE,0.9598,64.8965
DonchianChannel,{'N': 40},RAW,0.9599,76.719
DonchianChannel,{'N': 40},STATE_MACHINE,0.877,66.0907
DonchianChannel,{'N': 50},RAW,0.9467,82.0415
DonchianChannel,{'N': 50},STATE_MACHINE,0.8555,68.5873
DonchianChannel,{'N': 60},RAW,0.9448,87.4461
DonchianChannel,{'N': 60},STATE_MACHINE,0.8231,70.5572
