,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0
20100201,-97.68005863689623,0.0,0.0,0.0,0.0
20100202,-95.11902703708759,0.0,0.0,0.0,0.0
20100203,-93.15722705543608,0.0,0.0,0.0,0.0
20100204,-93.08709823504695,0.0,0.0,0.0,0.0
20100205,-59.309714838475685,0.0,0.0,0.0,0.0
20100208,-30.92523348116054,0.0,0.0,0.0,0.0
20100209,-8.17084082567079,0.0,0.0,0.0,0.0
20100210,-24.326067166079067,0.0,0.0,0.0,0.0
20100211,-2.5278078833374202,0.0,0.0,0.0,0.0
20100212,14.87794784160864,0.0,0.0,0.0,0.0
20100222,-4.572926675778376,0.0,0.0,0.0,0.0
20100223,-20.074617733957798,0.0,0.0,0.0,0.0
20100224,-0.17928271979173616,0.0,0.0,0.0,0.0
20100225,-16.13244412992164,0.0,0.0,0.0,0.0
20100226,-29.791495453804423,0.0,0.0,0.0,0.0
20100301,-40.97521540158752,0.0,0.0,0.0,0.0
20100302,-49.65210985288175,0.0,0.0,0.0,0.0
20100303,-57.39807023387745,0.0,0.0,0.0,0.0
20100304,-63.773671363492916,0.0,0.0,0.0,0.0
20100305,-68.7831952855031,0.0,0.0,0.0,0.0
20100308,-72.73546201673909,0.0,0.0,0.0,0.0
20100309,-81.12797117041526,0.0,0.0,0.0,0.0
20100310,-88.12139805664745,0.0,0.0,0.0,0.0
20100311,-96.42596479695771,0.0,0.0,0.0,0.0
20100312,-103.30617733832564,0.0,0.0,0.0,0.0
20100315,-109.08308134587497,0.0,0.0,0.0,0.0
20100316,-69.42529247326588,0.0,0.0,0.0,0.0
20100317,-76.86874908552872,0.0,0.0,0.0,0.0
20100318,-82.87026968685548,0.0,0.0,0.0,0.0
20100319,-89.13996064682048,0.0,0.0,0.0,0.0
20100322,-50.37064037915145,0.0,0.0,0.0,0.0
20100323,-64.1815558380315,0.0,0.0,0.0,0.0
20100324,-75.54631323664024,0.0,0.0,0.0,0.0
20100325,-37.421718133718244,0.0,0.0,0.0,0.0
20100326,-6.281771383432449,0.0,0.0,0.0,0.0
20100329,19.24443506361209,0.0,0.0,0.0,0.0
20100330,40.984609673528944,0.0,0.0,0.0,0.0
20100331,58.93980546355505,0.0,0.0,0.0,0.0
20100401,73.6343252749757,0.0,0.0,0.0,0.0
20100402,85.60464953989863,0.0,0.0,0.0,0.0
20100406,45.009692995160464,0.0,0.0,0.0,0.0
20100407,11.865928564523468,0.0,0.0,0.0,0.0
20100408,-14.229020352124454,0.0,0.0,0.0,0.0
20100409,-35.21399740295839,0.0,0.0,0.0,0.0
20100412,-52.3124725305257,0.0,0.0,0.0,0.0
20100413,-66.33660261090924,0.0,0.0,0.0,0.0
20100414,-86.64785839414046,0.0,0.0,0.0,0.0
20100415,-102.1298010679256,0.0,0.0,0.0,0.0
20100416,-115.85982977025625,0.0,0.0,0.0,0.0
20100419,-120.9646659529755,0.0,0.0,0.0,0.0
20100420,-124.96761519940557,0.0,0.0,0.0,0.0
20100421,-128.57114276306865,0.0,0.0,0.0,0.0
20100422,-132.01385561501675,0.0,0.0,0.0,0.0
20100423,-135.0655657305395,0.0,0.0,0.0,0.0
20100426,-137.55507202287333,0.0,0.0,0.0,0.0
20100427,-138.18042055915762,0.0,0.0,0.0,0.0
20100428,-135.99923221116296,0.0,0.0,0.0,0.0
20100429,-134.21252767950517,0.0,0.0,0.0,0.0
20100430,-131.31844047988432,0.0,0.0,0.0,0.0
20100504,-129.0099856233732,0.0,0.0,0.0,0.0
20100505,-83.2456555113527,0.0,0.0,0.0,0.0
20100506,-45.435255336468416,0.0,0.0,0.0,0.0
20100507,-16.70102027512161,0.0,0.0,0.0,0.0
20100510,-35.006451264965804,0.0,0.0,0.0,0.0
20100511,-50.02199729984824,0.0,0.0,0.0,0.0
20100512,-61.60654304715909,0.0,0.0,0.0,0.0
20100513,-70.99624916858522,0.0,0.0,0.0,0.0
20100514,-78.66873585917965,0.0,0.0,0.0,0.0
20100517,-79.79099961370186,0.0,0.0,0.0,0.0
20100518,-80.6521304349313,0.0,0.0,0.0,0.0
20100519,-81.4067706586744,0.0,0.0,0.0,0.0
20100520,-81.61804547331526,0.0,0.0,0.0,0.0
20100521,-81.7911011830866,0.0,0.0,0.0,0.0
20100524,-80.43023753145879,0.0,0.0,0.0,0.0
20100525,-79.2276510033262,0.0,0.0,0.0,0.0
20100526,-78.25390073278335,0.0,0.0,0.0,0.0
20100527,-77.90449407602978,0.0,0.0,0.0,0.0
20100528,-77.6314247946787,0.0,0.0,0.0,0.0
20100531,-77.87786754710072,0.0,0.0,0.0,0.0
20100601,-78.36766768826521,0.0,0.0,0.0,0.0
20100602,-78.66597791074207,0.0,0.0,0.0,0.0
20100603,-78.73734787020459,0.0,0.0,0.0,0.0
20100604,-79.38784702721243,0.0,0.0,0.0,0.0
20100607,-77.66184415016122,0.0,0.0,0.0,0.0
20100608,-75.95415599353689,0.0,0.0,0.0,0.0
20100609,-49.823037251102164,0.0,0.0,0.0,0.0
20100610,-28.439618298153636,0.0,0.0,0.0,0.0
20100611,-11.07584279433544,0.0,0.0,0.0,0.0
20100617,6.296712145357297,0.0,0.0,0.0,0.0
20100618,20.572187992193925,0.0,0.0,0.0,0.0
20100621,31.30741508943244,0.0,0.0,0.0,0.0
20100622,40.16878786710138,0.0,0.0,0.0,0.0
20100623,47.0834985633954,0.0,0.0,0.0,0.0
20100624,54.02857207496466,0.0,0.0,0.0,0.0
20100625,60.0188597679392,0.0,0.0,0.0,0.0
20100628,64.74764935405963,0.0,0.0,0.0,0.0
20100629,68.43754690975442,0.0,0.0,0.0,0.0
20100630,71.45367388448491,0.0,0.0,0.0,0.0
20100701,74.01755948598615,0.0,0.0,0.0,0.0
20100702,76.09720374048516,0.0,0.0,0.0,0.0
20100705,77.74416875413125,0.0,0.0,0.0,0.0
20100706,79.164022812677,0.0,0.0,0.0,0.0
20100707,80.31247042420667,0.0,0.0,0.0,0.0
20100708,43.903856514966094,0.0,0.0,0.0,0.0
20100709,58.59540431498805,0.0,0.0,0.0,0.0
20100712,23.80061001205826,0.0,0.0,0.0,0.0
