,AG.SHF,AU.SHF
20180102,0.0,0.0
20180103,-138.17160713391502,6.793737970048349
20180104,-141.52289674729894,-56.71327975299763
20180105,-154.73948444709964,-86.60623494731516
20180108,-170.07667692886008,-107.82572945061312
20180109,-185.29919244724752,-75.96260581274049
20180110,-182.2872973659796,-100.16666055677803
20180111,-180.61534543183896,-118.97483832073748
20180112,-138.72951386455475,-91.09871198296098
20180115,-107.9580571230998,-27.634576073055705
20180116,-84.73467732687298,20.585001875820392
20180117,-66.94478867429686,56.07920239687238
20180118,-29.05735211694631,79.66316152651997
20180119,1.0696711212212489,98.17715709503796
20180122,25.705326239980845,114.10017618501887
20180123,45.842363607727705,127.04465494646576
20180124,62.5940573524045,136.81633387819434
20180125,67.76580878008781,144.86772268730422
20180126,71.86822145981999,148.6343134721169
20180129,75.50890174823189,151.13848435648825
20180130,77.21631067220727,151.46446438066639
20180131,78.51840647129336,152.4091468886213
20180201,79.62019012354025,154.0240527546331
20180202,80.54563649104139,155.89333854264055
20180205,65.54825251140332,126.80592831457135
20180206,53.32787544373771,103.13048005665604
20180207,43.3592090145992,83.88387639258674
20180208,24.207604012750828,68.16290996771788
20180209,8.636129515564635,34.912169239673396
20180212,-4.508733507040021,7.544905714439522
20180213,-15.014997788401711,-14.035634948117325
20180214,-23.656489782363934,-30.718557847761456
20180222,-30.496665866592977,-43.73492658994323
20180223,-35.932028524432084,-54.20100182504871
20180226,-40.13195403738991,-62.42837756663521
20180227,-43.607364236269106,-69.08279312395486
20180228,-46.29800165036304,-74.28059997522072
20180301,-50.31062041528309,-78.9001930990423
20180302,-53.551334560113794,-82.62900123937104
20180305,-56.04555000004861,-85.55645313370127
20180306,-58.63943078697781,-88.75082406004545
20180307,-60.555055764975386,-91.0600256857631
20180308,-62.12692886632829,-92.95625487136006
20180309,-63.37701569474821,-94.24422287378722
20180312,-67.85373618304295,-96.2551618891085
20180313,-72.72500339270337,-98.89613859136061
20180314,-77.41874565693284,-104.97103684907314
20180315,-84.99081163112506,-110.07433825591531
20180316,-91.00890965830388,-114.50814951341849
20180319,-94.38662424006404,-117.54471621737319
20180320,-97.6726641302939,-120.24189028364678
20180321,-100.47227956632105,-124.34320079210946
20180322,-102.12261107366936,-127.2363455114595
20180323,-103.92087028628548,-103.68181282589225
20180326,-106.7627489163452,-84.40223761272824
20180327,-108.83497857854871,-92.57582299413262
20180328,-109.95535874112036,-75.2777039851982
20180329,-107.80131357992452,-82.86552848897895
20180330,-105.80525866133779,-89.30285504371062
20180402,-104.19489072153424,-94.85964710264778
20180403,-102.50559631381813,-98.26581934729634
20180404,-101.63179906820702,-101.41193160943764
20180409,-100.92784544040151,-103.8696612675389
20180410,-100.49034613953508,-106.42958314963711
20180411,-99.8708035470465,-107.86382607856774
20180412,-99.30882791502516,-87.86410035819101
20180413,-98.42489488642434,-71.52030010556344
20180416,-97.29781114082928,-58.152160036875316
20180417,-96.4902183535115,-47.20809833491845
20180418,-96.80472788969536,-38.24440855696664
20180419,-78.94257860191139,-10.880531759736634
20180420,-64.32983450540398,-9.275668752259161
20180423,-52.36320112356309,-7.979082380813963
20180424,-56.05590646050858,-6.97550082018113
20180425,-59.08702895926151,-6.154490021784453
20180426,-61.61731822286436,-5.480977426434668
20180427,-64.25641313905813,-4.942629136769982
20180502,-67.33618850610712,-33.369165361735035
20180503,-69.8925031862098,-56.843909989429164
20180504,-56.90526387022318,-45.95327184857259
20180507,-46.27629380426207,-36.984618268886045
20180508,-37.57854163421947,-29.645683819636584
20180509,-45.82279629554977,-57.4909868461458
20180510,-52.46805284537361,-80.24682652201508
20180511,-43.20904085369333,-102.17244948724826
20180514,-35.63366694550461,-121.80683062599667
20180515,-29.429184212150993,-141.87042188004077
20180516,-9.441264610816015,-152.2121248131769
20180517,-22.44061274109705,-160.05883215217244
20180518,-33.062217335330956,-165.61679088377952
20180521,-48.85521947932442,-171.63541256230204
20180522,-60.88887686613266,-175.84144917118851
20180523,-49.430081857392324,-180.100483201417
20180524,-65.5894924724654,-179.27584196014962
20180525,-78.23718808677617,-176.82766534391803
20180528,-87.73810597537002,-174.07158204560648
20180529,-95.72954805220738,-171.3486653968363
20180530,-104.77125994004929,-168.8679984329259
20180531,-110.20500174750126,-166.76124262806727
20180601,-114.02187837805964,-164.77043708075718
20180604,-117.26308819662603,-162.48611677054967
20180605,-119.93392741137966,-160.53945053663912
20180606,-121.7661895526457,-158.73314409624186
20180607,-123.19967322003822,-157.30580364893387
20180608,-125.03493411702985,-156.31041702123377
20180611,-101.9097024458855,-155.17001147813937
20180612,-82.93590471904679,-155.18284103038806
20180613,-67.38916562934747,-160.5977248662536
20180614,-54.773184420841325,-166.20568057366282
20180615,-44.44976793534243,-170.8729002467612
20180619,-47.47799992990029,-169.93422083557527
20180620,-39.055387015731604,-168.3420311466681
20180621,-32.16466372278001,-166.70680549260257
20180622,-26.522823706671794,-166.8825006954462
20180625,-21.907192027311428,-168.33141417540435
20180626,-18.13265443368527,-170.7128746782473
20180627,-3.732045125615305,-173.4970163881166
20180628,8.018787357252162,-176.60210578781033
20180629,17.837415654620326,-143.84573809025323
20180702,25.934705098287424,-117.05393127312774
20180703,32.56609772361526,-95.08756951501958
20180704,37.9743427742326,-77.12286043431817
20180705,42.4312782441472,-62.41876761209723
20180706,46.13714297265413,-50.39158117948678
20180709,49.168602589527765,-77.29046934323173
20180710,52.12933626604563,-63.893594976803385
20180711,54.54999103071388,-52.91779634216842
