trade_date,GMV
20180102,0.0
20180103,602.000203299507
20180104,538.035976830132
20180105,519.2386117999466
20180108,494.06734676542885
20180109,423.23990854669626
20180110,392.9359659614463
20180111,367.4665104727353
20180112,345.19920244672625
20180115,324.17799589950505
20180116,292.32691578156937
20180117,269.20264087689844
20180118,250.79430371469866
20180119,240.13219618963697
20180122,237.85508709627223
20180123,243.21601084493534
20180124,246.08090416055387
20180125,248.55302837394063
20180126,257.4321870335219
20180129,264.7622490046715
20180130,273.0547338544076
20180131,280.2323538552163
20180201,283.78374856344846
20180202,285.79516058049103
20180205,289.34035582247714
20180206,292.86630020961536
20180207,294.67854649410805
20180208,295.9769718615445
20180209,297.67829158228056
20180212,290.8772133073976
20180213,284.9879642703455
20180214,279.2739484808254
20180222,272.1073001681946
20180223,261.2484480373586
20180226,252.3582511658615
20180227,245.6448441869406
20180228,232.16459695175507
20180301,226.09776660639687
20180302,221.90440164029118
20180305,222.3200398687414
20180306,216.1840123415028
20180307,214.40387467148082
20180308,215.06996709676017
20180309,220.85018410564575
20180312,221.71591565948222
20180313,217.99792323039384
20180314,215.48136713087177
20180315,203.67952579584815
20180316,198.5528425331641
20180319,199.80475742533952
20180320,202.45164392088665
20180321,211.75151485988565
20180322,220.9248362240319
20180323,231.7444004055609
20180326,241.96301121608946
20180327,249.4524481917531
20180328,254.94427577873094
20180329,258.22388285857767
20180330,258.9297313113624
20180402,261.190298956084
20180403,263.8873091177381
20180404,265.67223799747416
20180409,266.30599042355556
20180410,268.12231625226434
20180411,271.67865742441603
20180412,258.59912951765335
20180413,242.77243175100799
20180416,228.76551230006976
20180417,230.4960167058977
20180418,238.18733562285865
20180419,244.42668355683867
20180420,233.59228724844223
20180423,224.28810803926055
20180424,217.24916514211696
20180425,221.4033633339832
20180426,231.23843419534484
20180427,241.58370218718886
20180502,242.31176337618706
20180503,247.79081568244408
20180504,260.2450266553138
20180507,269.0664035130381
20180508,279.94381286333555
20180509,291.0586681771689
