trade_date,AG.SHF,AU.SHF
20180102,0.0,0.0
20180103,-133.44660989988,-349.2285624860346
20180104,-136.68329685008192,-214.87936922490488
20180105,-149.44792237313516,-179.38874424641597
20180108,-164.26063523453516,-168.33917392315797
20180109,-178.96259269319242,-166.75511862705355
20180110,-176.0536941408308,-165.87482312608276
20180111,-174.43891725464766,-167.38142417137178
20180112,-175.61824419058863,-170.87611675630578
20180115,-167.67523720546038,-91.54769346300135
20180116,-160.52725706610272,-31.35321133369392
20180117,-152.3898797623294,13.393730855397784
20180118,-98.26889676973887,44.31652179214328
20180119,-55.39299149564981,68.60018213477656
20180122,-20.68284803180947,89.05149223134528
20180123,7.468938106400873,105.59752949595429
20180124,30.620947584575347,118.27528932217332
20180125,41.225027658929555,128.6577822941325
20180126,49.71360576747162,134.3988873672368
20180129,56.89194196883449,138.51912689453363
20180130,61.51003985502233,140.21360783265575
20180131,65.17884914352332,142.2464227665517
20180201,68.20385868134582,144.71728219496964
20180202,70.6941128298126,147.26447353334996
20180205,69.72101711889607,146.5768317960263
20180206,68.42411844500113,143.7053567893612
20180207,67.21625370549307,137.65722931583468
20180208,44.091808636110926,133.15100313171988
20180209,25.2732870154046,88.75291928278666
20180212,9.490131624277803,52.28542736231696
20180213,-3.1801993214559054,23.24139183306935
20180214,-13.588706286295851,0.4252693754072926
20180222,-21.881134288085672,-17.626416223784474
20180223,-28.509305961630908,-32.21562715143561
20180226,-33.69301206385522,-43.82598677009112
20180227,-37.97159020876234,-53.2496139550373
20180228,-41.32432131835654,-60.72069316383898
20180301,-45.81653487028044,-67.1871008064759
20180302,-49.450970908414014,-72.42828284506423
20180305,-52.27261940896987,-76.59708654177419
20180306,-55.11542934320636,-80.77960254526137
20180307,-57.24175358359043,-83.9075765722529
20180308,-58.98583721259308,-86.4733957788647
20180309,-60.378038004924484,-88.31816760894988
20180312,-64.8529102754776,-90.75190669819214
20180313,-69.68133155517917,-93.70473867468587
20180314,-74.31579650582863,-99.90092649939889
20180315,-81.7117471077358,-105.0989084118799
20180316,-87.59180916033979,-109.60134259318446
20180319,-90.9094579555501,-112.71426405160662
20180320,-94.12848594261607,-115.46663302374729
20180321,-96.86947570146015,-119.54831434392413
20180322,-98.49373511160853,-122.44121238257839
20180323,-100.25534265390583,-121.77342348720465
20180326,-103.02036434867348,-121.63171592446463
20180327,-105.03836074472628,-122.2319030587616
20180328,-106.13403393520325,-123.9584917965881
20180329,-104.06478205422891,-121.96764213678532
20180330,-102.1460935966113,-120.56007018511511
20180402,-100.59824687742378,-119.68841794570677
20180403,-98.97281775465555,-117.8739629836739
20180404,-98.13388998449422,-116.73637802377073
20180409,-97.45809073542172,-115.69325035626306
20180410,-97.03889187639795,-115.37006317965805
20180411,-96.44326780680635,-114.46797959064641
20180412,-95.90274532334627,-113.60454993776828
20180413,-95.05086883082897,-111.89071429153509
20180416,-93.96382399111579,-110.28026856934423
20180417,-93.18507251991569,-109.29670740016833
20180418,-93.48982868505031,-108.97835298236437
20180419,-89.92240619135896,-69.45171284244351
20180420,-86.91431734758811,-37.628825453093626
20180423,-85.00600875084298,-10.74462348414552
20180424,-82.31180611864134,14.1950401078836
20180425,-80.11694179539016,34.60542019253737
20180426,-78.36970485870913,51.21349530227754
20180427,-77.48955300417606,65.45513635209903
20180502,-77.65846641879118,25.231825502126604
20180503,-77.83191883169066,-7.8874154566004595
20180504,-78.04871511120787,-35.00238161561427
20180507,-78.38275154066721,-60.175594541309415
20180508,-78.72403601467025,-80.8204603218509
20180509,-78.97171890639481,-98.22471970532575
20180510,-79.07774712804652,-112.43879993208219
20180511,-50.27410718657618,-127.2626155247663
20180514,-26.69817806449736,-141.02845584349993
20180515,-7.740321875195498,-156.15375828205248
20180516,7.803627252254696,-162.66275192359012
20180517,-7.827920863631431,-167.39462639751062
20180518,-20.603630076294426,-170.4335655386595
20180521,-37.91619682308718,-174.34086115420996
20180522,-51.223497130272264,-176.84401224833505
20180523,-61.85969918845927,-179.6818126976151
20180524,-74.89924813325489,-177.8417075190434
20180525,-85.01394620165559,-174.62334339921415
20180528,-92.4713827920532,-171.2628577356226
20180529,-98.78343200993712,-168.06143199198291
20180530,-106.36549227598462,-165.1979033760337
20180531,-110.67213652988193,-162.78053434242264
20180601,-113.5883490830776,-160.5447244791678
20180604,-116.0886061058831,-158.082361250407
20180605,-118.1525635227671,-155.99267982225805
20180606,-119.50035637849807,-154.07666464078494
20180607,-120.53970074575133,-152.557833973779
20180608,-122.02983185185677,-151.481694942333
20180611,-119.97295747313845,-150.28636727970223
20180612,-121.02239531906336,-150.22191439045133
20180613,-123.04907851286642,-155.38875555589308
20180614,-119.35719618620993,-160.75349749043195
20180615,-116.40082304220226,-165.21902623014458
20180619,-105.9671206713964,-164.27801085065974
20180620,-75.91824536946596,-162.71209403189124
20180621,-51.306819321768046,-161.10973558220024
20180622,-31.374556728832005,-161.26056193879037
20180625,-15.044790931140925,-162.64449606705244
