,A.DCE,AG.SHF,AP.ZCE,AU.SHF,B.DCE,C.DCE,CF.ZCE,CS.DCE,HC.SHF,I.DCE,J.DCE,JD.DCE,JM.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RB.SHF,RM.ZCE,SF.ZCE,SM.ZCE,SR.ZCE,SS.SHF,UR.ZCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-80.01039980414006,-22.19521652351303,0.0,1.091313102431325,-0.7112652572221929,25.63728061943417,-13.094075344381935,41.502844955249955,0.0,0.0,0.0,-7.611993701279504,0.0,0.0,105.83416650175567,-9.971235697134418,-7.54547274927815,0.0,43.7342795482366,0.0,0.0,-18.888445613594673,0.0,0.0,-7.603853884126061
20180104,-78.0270877500203,-22.733551425631994,0.0,-9.110146071156027,-0.8727725931422352,18.97869179664766,-15.701874554440986,24.707151970950935,0.0,0.0,0.0,-9.344176339770128,0.0,0.0,77.1746174863114,-11.810638612486308,-9.217328888320436,0.0,35.70339074371672,0.0,0.0,-20.243766729267147,0.0,0.0,-9.306640071197348
20180105,-69.04579499483742,-24.856599943224815,0.0,-13.912005344765763,-0.9800892163965819,17.824464029996403,-15.82175840852739,20.090715669598204,0.0,0.0,0.0,-10.879399463458714,0.0,0.0,71.99202771487047,-13.110124124161164,-10.303124245982138,0.0,32.06301131427825,0.0,0.0,-20.62248689838042,0.0,0.0,-10.175293684310768
20180108,-66.48007562841589,-27.32029212323647,0.0,-17.320601978976804,-1.0277587665784056,15.269676324762218,-16.497007149374497,16.749710968301592,0.0,0.0,0.0,-10.716718359720026,0.0,0.0,63.37248325394343,-12.63567688458255,-10.209137581622844,0.0,29.55462848738453,0.0,0.0,-21.260721499906865,0.0,0.0,-9.885499207870142
20180109,-57.27594319713845,-29.76556315229592,0.0,-12.202264406391237,-14.709174644506424,14.117475725175952,-17.458810384548503,15.110093364438082,0.0,0.0,0.0,-10.86544125655078,0.0,0.0,58.095993238279476,-12.699032204145826,-10.33324924756953,0.0,27.15637931019788,0.0,0.0,-22.392273258796482,0.0,0.0,-10.003991052088793
20180110,-51.44288273021536,-29.281746940980852,0.0,-16.09028631577101,-14.271336115339846,13.651898043550482,-18.429674241699725,11.127500039327664,0.0,0.0,0.0,-11.18349793137722,0.0,0.0,53.72651972308715,-12.950357867679827,-10.405094897686448,0.0,25.788178517056668,0.0,0.0,-23.20611004023256,0.0,0.0,-10.315064320514418
20180111,-44.14808527022309,-29.013172695049178,0.0,-19.11154072934392,-13.780053595001927,13.484166090959922,-13.88690813151916,8.389791640451167,0.0,0.0,0.0,-11.59487291804392,0.0,0.0,49.20722101411999,-13.239502218110475,-10.639156167732715,0.0,19.482351116142667,0.0,0.0,-24.24839824714994,0.0,0.0,-10.681652672977664
20180112,-38.83398736083183,-22.284835953606745,0.0,-14.633655057042969,-13.557980277066337,13.543241888778244,-10.639358376644225,6.426555447336915,0.0,0.0,0.0,-12.066186456208921,0.0,0.0,37.901652552512466,-13.24345497335612,-10.636204161976282,0.0,14.972057750953,0.0,0.0,-25.424744036821014,0.0,0.0,-10.900266277830061
20180115,-34.71511020213626,-17.341858454194956,0.0,-4.439084209844239,-13.55771138919636,13.75903413876174,-8.259958344715024,7.959242000836697,0.0,0.0,0.0,-12.589805248995667,0.0,0.0,29.57386375493766,-13.36532003557358,-10.770988219230222,0.0,11.651003086861422,0.0,0.0,-25.705477751776012,0.0,0.0,-11.213472648882924
20180116,-30.256233066453454,-13.611367409928073,0.0,3.306674817265041,-13.650501083068706,14.073541520697075,-6.461231465913694,9.267034551014442,0.0,0.0,0.0,-13.030491169753985,0.0,0.0,18.873666142053523,-13.3730268719533,-10.947314680986272,0.0,5.702299488597339,0.0,0.0,-26.144678163055783,0.0,0.0,-11.569881731293329
20180117,-26.964541099222664,-10.75368601819013,0.0,9.008290961385054,-13.79590307930141,14.428955851468563,-5.079441737187331,10.182356637251864,0.0,0.0,0.0,-13.484417464802208,0.0,0.0,10.711845192667015,-13.495926031244046,-11.101054738978851,0.0,1.084742248559151,0.0,0.0,-26.57408714408425,0.0,0.0,-11.936813605207433
20180118,-24.517717487574032,-4.667632049835802,0.0,12.796703720142972,-13.937334449596069,14.802407849062321,-4.0200368206865855,11.016753062129546,0.0,0.0,0.0,-13.860296514952845,0.0,0.0,4.185873020957239,-13.70981666626939,-11.26429386929324,0.0,-2.6466378315303474,0.0,0.0,-27.148799063390737,0.0,0.0,-12.33510086732082
20180119,-22.15848154699943,0.17182677857574882,0.0,15.770702133292746,-14.052932617346594,15.177377260893142,-3.1909588270062006,11.699430822562526,0.0,0.0,0.0,-14.25433889315804,0.0,0.0,-0.9805375841518176,-13.695163028992681,-11.325788392232024,0.0,-5.463570770875114,0.0,0.0,-27.829247213255137,0.0,0.0,-12.637714038607085
20180122,-20.376160318284384,4.12917887790765,0.0,18.3284986570578,-14.129550734529708,15.588726732418642,-0.49268778146062464,12.338132198883436,0.0,0.0,0.0,-14.681769994824318,0.0,0.0,-5.217204917167352,-13.654383503392275,-11.388739082543193,0.0,-7.786147597051631,0.0,0.0,-28.338945213130966,0.0,0.0,-12.784424871003
20180123,-19.015091502099466,7.363894850242237,0.0,20.40783691514055,-13.727321446794036,15.893363979844736,1.7303601152449934,12.895907879272226,0.0,0.0,0.0,-15.128827525392033,0.0,0.0,-8.736436514632134,-13.70577996378774,-11.510462433914393,0.0,-9.752389204440941,0.0,0.0,-28.949291424736234,0.0,0.0,-12.986567637647703
20180124,-18.003001966634603,10.054805649581256,0.0,21.977512003871066,-13.479770042335836,16.203762907494312,3.5417632530251932,10.397793053879356,0.0,0.0,0.0,-15.317555253098195,0.0,0.0,-11.147745977372729,-13.792363416453982,-11.654252834742536,0.0,-11.167261490218676,0.0,0.0,-28.79175411299368,0.0,0.0,-13.226292992646009
20180125,-17.224682591796082,10.88557070416998,0.0,23.27084803462293,-13.351567284410688,16.554597692770976,5.063640930727145,8.386656248693527,0.0,0.0,0.0,-15.499575642529729,0.0,0.0,-12.907675868418577,-13.938489815649366,-11.840268695209131,0.0,-11.993492639719479,0.0,0.0,-28.77871667930354,0.0,0.0,-13.498309807549614
20180126,-16.67000948494591,11.544562371012303,0.0,23.87589490176519,-13.278580130005743,16.844715758662723,6.352453800886452,9.910200227370751,0.0,0.0,0.0,-15.733962173311676,0.0,0.0,-14.376904724117717,-14.116451958089348,-12.058761636454754,0.0,-12.640503596324075,0.0,0.0,-28.923247416457716,0.0,0.0,-13.791411219587589
20180129,-16.29022507126994,12.129383586964952,0.0,24.278152761707652,-13.271101136965784,17.171689248489905,5.130351130225469,11.206038165843628,4.050242266895922,-2.1658852916346563,-0.4045539174980181,-15.763999111148378,-1.457926089701732,0.0,-11.640400462657233,-14.331899963078863,-12.275530782451,-1.1222450934525683,-10.243351437906885,-1.2575785622822773,2.2645244008282956,-29.115010968257437,0.0,0.0,-14.099968472377714
20180130,-15.99723314861334,12.403653471696648,0.0,24.330516611047276,-13.175499768764354,17.617386773305427,4.1405978834493,9.070402749326139,6.0999410428749865,-3.85997835090091,-1.2176099372088072,-16.0168878763799,-2.6835050433012357,0.0,-12.890778387351121,-14.768680205099153,-12.719804867111243,-2.4953605998961237,-10.87955539117674,-2.2889579815530885,3.647529237464778,-29.629727336097297,0.0,0.0,-14.596852132864264
20180131,-15.828004372922416,12.612815822736414,0.0,24.482265825266904,-10.705434641095545,18.891027947733253,3.336619317691727,7.327594060604713,7.629618141379841,-5.4092406097312145,-1.8665106534013651,-16.387119741996898,-3.6284504247730407,0.0,-13.892127559557741,-15.07080238030224,-13.07720602331293,-3.7379222349891523,-11.398353928386076,-3.151788901313369,4.89471078030995,-29.12727661987248,0.0,0.0,-14.942002969540171
20180201,-15.460172845851659,12.789801002477326,0.0,24.7416764676175,-10.639149437485585,19.338718221759652,2.6827969797213447,5.925693724685977,10.136367574249826,-6.721396096245709,-2.561765212337938,-16.68892364273616,-4.395737671087034,0.0,-14.615652851325578,-15.388285386926151,-13.350637466292708,-4.166295575262132,-11.839987172805984,-3.5666660976514515,5.806868396620356,-29.095432066771576,0.0,0.0,-15.169888045381356
20180202,-15.173000247144302,12.93846021643348,0.0,25.041949466316428,-10.582957398682327,19.765328056429762,2.149165790465307,7.711532833516785,14.312479853089156,-7.3966719830712035,-2.635494685467164,-16.923935515547324,-4.313228336343802,0.0,-14.931822204084966,-15.497627422028007,-13.533059599992903,-3.7809261910077203,-12.059588388957236,-3.7504141649266125,7.590047402405532,-29.118889931831784,0.0,0.0,-15.190959707203397
20180205,-14.874454937763023,10.529353225358845,0.0,20.369489027360032,-10.520310447019934,20.94677341347523,1.7150483467078328,9.545345813616642,16.87260080398366,-7.470463496524033,-1.6905096876978176,-16.989461951013464,-3.524844953741478,0.0,-15.203140973866738,-15.613482326776195,-13.739381174926628,-3.416374408291333,-12.27507817843407,-3.2845146249171306,9.382343706094304,-29.143997724330625,0.0,0.0,-15.368087757296072
20180206,-14.613117317957009,8.566331149825388,0.0,16.56637989896749,-10.474166605258803,21.914556700312467,1.3607349462451293,11.050030913498865,18.00498748738152,-7.624018660939592,-1.0211739685373697,-17.039161428721634,-2.8063415172252384,0.0,-15.4391254848751,-15.721395587941641,-14.140665906164344,-3.6543393366561743,-12.470112996823621,-3.369078083016286,10.328704283581892,-29.172689819494973,0.0,0.0,-15.632626912445112
20180207,-14.400061821717157,6.965012945348226,0.0,13.474698876163476,-8.520840306324855,22.50103308295694,1.0716225794319372,12.139244019365767,18.74882562207599,-7.434575977613988,0.3944946602380014,-17.063096103259735,-1.830566128971619,0.0,-15.314836166595182,-15.805905321684367,-14.454292704556027,-3.872929182716871,-12.490314423904339,-3.2998319679447583,10.986569320902971,-29.20284381075368,0.0,0.0,-15.759004664166126
20180208,-14.221617223659946,3.88859204668385,0.0,10.949359112107159,-6.927014543187909,23.109334813320874,0.8360027186247962,13.103127147648989,19.65275932021338,-7.3171982256164885,0.9500933638131421,-17.064686671102482,-0.934142829147946,0.0,-15.260017658519232,-15.866950347189187,-14.694513171799581,-4.061220386712334,-12.571803249625004,-3.714877442519233,10.676806298718429,-28.917268406636698,0.0,0.0,-15.84953911744629
20180209,-14.031467714162059,1.3872659405147036,0.0,5.608121463254537,-5.624097859791154,23.673746912780906,0.6416624577893135,13.96748100033565,17.733133282995226,-7.431156844861899,0.1581315307971516,-17.033907625585908,-0.2894558523174417,0.0,-15.359241368047273,-15.983071943981649,-15.098207137264152,-4.889396244433074,-10.23152829067463,-3.968514318521559,10.418601531831957,-28.236054319260155,0.0,0.0,-16.00708206077369
