ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20180425,3854.0,3870.0,3849.0,3893.0,3838.0,3855.0,3867.0,-15.0,-3.0,146618.0,567110.08,171656.0,
A1805.DCE,20180425,3733.0,3746.0,3732.0,3767.0,3720.0,3731.0,3743.0,-15.0,-3.0,6412.0,24005.31,42462.0,-2488.0
A1807.DCE,20180425,3778.0,3780.0,3800.0,3800.0,3792.0,3792.0,3796.0,12.0,16.0,4.0,15.18,396.0,0.0
A1809.DCE,20180425,3854.0,3870.0,3849.0,3893.0,3838.0,3855.0,3867.0,-15.0,-3.0,146618.0,567110.08,171656.0,-74.0
A1811.DCE,20180425,3921.0,3921.0,,,,3921.0,3921.0,0.0,0.0,0.0,0.0,0.0,0.0
A1901.DCE,20180425,3935.0,3948.0,3931.0,3970.0,3917.0,3930.0,3947.0,-18.0,-1.0,3760.0,14843.51,10482.0,232.0
A1903.DCE,20180425,3977.0,3977.0,,,,3977.0,3977.0,0.0,0.0,0.0,0.0,2.0,0.0
A1905.DCE,20180425,3995.0,3998.0,3982.0,4020.0,3975.0,3983.0,3988.0,-15.0,-10.0,144.0,574.32,392.0,-38.0
A1907.DCE,20180425,3998.0,3998.0,,,,3998.0,3998.0,0.0,0.0,0.0,0.0,6.0,0.0
A1909.DCE,20180425,4037.0,4043.0,4034.0,4047.0,4015.0,4022.0,4026.0,-21.0,-17.0,158.0,636.14,232.0,12.0
AG.SHF,20180425,3682.0,3684.0,3676.0,3694.0,3670.0,3676.0,3683.0,-8.0,-1.0,219038.0,1210274.382,463578.0,
AG1805.SHF,20180425,3657.0,3658.0,3656.0,3663.0,3650.0,3660.0,3655.0,2.0,-3.0,38.0,208.365,668.0,-28.0
AG1806.SHF,20180425,3682.0,3684.0,3676.0,3694.0,3670.0,3676.0,3683.0,-8.0,-1.0,219038.0,1210274.382,463578.0,-14124.0
AG1807.SHF,20180425,3707.0,3704.0,3707.0,3707.0,3694.0,3694.0,3700.0,-10.0,-4.0,10.0,55.512,238.0,-2.0
AG1808.SHF,20180425,3773.0,3773.0,,,,3773.0,3773.0,0.0,0.0,0.0,0.0,310.0,0.0
AG1809.SHF,20180425,3743.0,3745.0,3738.0,3753.0,3732.0,3735.0,3742.0,-10.0,-3.0,226.0,1268.604,1078.0,82.0
AG1810.SHF,20180425,3766.0,3760.0,3746.0,3762.0,3746.0,3762.0,3753.0,2.0,-7.0,20.0,112.608,206.0,0.0
AG1811.SHF,20180425,3730.0,3760.0,3770.0,3770.0,3770.0,3770.0,3770.0,10.0,10.0,2.0,11.31,84.0,-2.0
AG1812.SHF,20180425,3785.0,3787.0,3783.0,3798.0,3771.0,3778.0,3785.0,-9.0,-2.0,108910.0,618340.038,352476.0,17966.0
