ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20151023,3969.0,3940.0,3976.0,3985.0,3930.0,3965.0,3951.0,25.0,11.0,169676.0,670422.75,120346.0,
A1511.DCE,20151023,3902.0,3870.0,3868.0,3935.0,3856.0,3879.0,3894.0,9.0,24.0,42.0,163.59,112.0,0.0
A1601.DCE,20151023,3969.0,3940.0,3976.0,3985.0,3930.0,3965.0,3951.0,25.0,11.0,169676.0,670422.75,120346.0,-13658.0
A1603.DCE,20151023,3950.0,3950.0,3951.0,3951.0,3917.0,3917.0,3934.0,-33.0,-16.0,4.0,15.74,22.0,0.0
A1605.DCE,20151023,3943.0,3914.0,3940.0,3992.0,3888.0,3937.0,3924.0,23.0,10.0,61112.0,239833.13,87742.0,-5044.0
A1607.DCE,20151023,3859.0,3859.0,,,,3868.0,3868.0,9.0,9.0,0.0,0.0,6.0,0.0
A1609.DCE,20151023,3927.0,3903.0,3935.0,3950.0,3881.0,3920.0,3910.0,17.0,7.0,2000.0,7821.92,4482.0,184.0
A1611.DCE,20151023,3882.0,3882.0,3862.0,3912.0,3862.0,3912.0,3887.0,30.0,5.0,4.0,15.55,6.0,0.0
A1701.DCE,20151023,3861.0,3842.0,3870.0,3880.0,3842.0,3860.0,3860.0,18.0,18.0,622.0,2401.44,2386.0,8.0
A1703.DCE,20151023,3836.0,3841.0,3840.0,3840.0,3836.0,3840.0,3839.0,-1.0,-2.0,16.0,61.44,130.0,2.0
AG.SHF,20151023,3433.0,3414.0,3424.0,3469.0,3416.0,3468.0,3435.0,54.0,21.0,713716.0,3677973.78,443824.0,
AG1511.SHF,20151023,3409.0,3396.0,3403.0,3449.0,3398.0,3444.0,3425.0,48.0,29.0,486.0,2496.945,3038.0,360.0
AG1512.SHF,20151023,3433.0,3414.0,3424.0,3469.0,3416.0,3468.0,3435.0,54.0,21.0,713716.0,3677973.78,443824.0,24072.0
AG1601.SHF,20151023,3445.0,3426.0,3432.0,3477.0,3427.0,3477.0,3446.0,51.0,20.0,2564.0,13253.868,4050.0,42.0
AG1602.SHF,20151023,3419.0,3419.0,3451.0,3458.0,3451.0,3458.0,3456.0,39.0,37.0,8.0,41.475,130.0,-6.0
AG1603.SHF,20151023,3465.0,3445.0,3485.0,3485.0,3485.0,3485.0,3485.0,40.0,40.0,4.0,20.91,230.0,-2.0
AG1604.SHF,20151023,3458.0,3458.0,3477.0,3504.0,3473.0,3504.0,3482.0,46.0,24.0,8.0,41.79,106.0,0.0
AG1605.SHF,20151023,3458.0,3458.0,3490.0,3490.0,3480.0,3480.0,3483.0,22.0,25.0,6.0,31.35,598.0,-4.0
AG1606.SHF,20151023,3503.0,3487.0,3502.0,3544.0,3487.0,3543.0,3511.0,56.0,24.0,25716.0,135471.111,47422.0,4578.0
AG1607.SHF,20151023,3495.0,3495.0,3476.0,3522.0,3476.0,3522.0,3517.0,27.0,22.0,22.0,116.088,38.0,-12.0
AG1608.SHF,20151023,3496.0,3496.0,,,,3518.0,3518.0,22.0,22.0,0.0,0.0,42.0,0.0
AG1609.SHF,20151023,3520.0,3518.0,3533.0,3564.0,3528.0,3555.0,3538.0,37.0,20.0,36.0,191.091,46.0,0.0
AG1610.SHF,20151023,3535.0,3535.0,,,,3535.0,3535.0,0.0,0.0,0.0,0.0,0.0,0.0
AGL.SHF,20151023,3409.0,3396.0,3403.0,3449.0,3398.0,3444.0,3425.0,48.0,29.0,486.0,2496.945,3038.0,
AL.DCE,20151023,3902.0,3870.0,3868.0,3935.0,3856.0,3879.0,3894.0,9.0,24.0,42.0,163.59,112.0,
AL.SHF,20151023,10720.0,10780.0,10760.0,10830.0,10345.0,10620.0,10550.0,-160.0,-230.0,360684.0,1903159.705,189574.0,
AL1511.SHF,20151023,10720.0,10780.0,10750.0,10810.0,10360.0,10630.0,10580.0,-150.0,-200.0,24210.0,128090.525,44356.0,-3724.0
AL1512.SHF,20151023,10705.0,10785.0,10730.0,10820.0,10350.0,10630.0,10550.0,-155.0,-235.0,189824.0,1001436.32,125098.0,-14974.0
