ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20180813,3774.0,3799.0,3779.0,3796.0,3717.0,3738.0,3754.0,-61.0,-45.0,192686.0,723385.31,247736.0,
A1809.DCE,20180813,3650.0,3674.0,3639.0,3669.0,3601.0,3617.0,3636.0,-57.0,-38.0,20366.0,74050.81,56352.0,-4840.0
A1811.DCE,20180813,3700.0,3709.0,3705.0,3737.0,3664.0,3664.0,3692.0,-45.0,-17.0,44.0,162.48,70.0,2.0
A1901.DCE,20180813,3774.0,3799.0,3779.0,3796.0,3717.0,3738.0,3754.0,-61.0,-45.0,192686.0,723385.31,247736.0,5032.0
A1903.DCE,20180813,3756.0,3764.0,3737.0,3737.0,3666.0,3666.0,3722.0,-98.0,-42.0,12.0,44.67,30.0,-2.0
A1905.DCE,20180813,3808.0,3828.0,3812.0,3828.0,3756.0,3778.0,3787.0,-50.0,-41.0,3484.0,13195.64,15176.0,798.0
A1907.DCE,20180813,3790.0,3790.0,,,,3790.0,3790.0,0.0,0.0,0.0,0.0,8.0,0.0
A1909.DCE,20180813,3845.0,3853.0,3853.0,3853.0,3794.0,3818.0,3823.0,-35.0,-30.0,20.0,76.46,664.0,-6.0
A1911.DCE,20180813,3859.0,3859.0,3886.0,3886.0,3886.0,3886.0,3886.0,27.0,27.0,2.0,7.77,14.0,2.0
A2001.DCE,20180813,3861.0,3885.0,3863.0,3889.0,3850.0,3850.0,3861.0,-35.0,-24.0,52.0,200.77,40.0,4.0
AG.SHF,20180813,3678.0,3683.0,3684.0,3691.0,3671.0,3676.0,3679.0,-7.0,-4.0,282160.0,1557412.512,770872.0,
AG1808.SHF,20180813,3624.0,3626.0,3620.0,3620.0,3620.0,3620.0,3620.0,-6.0,-6.0,120.0,651.6,444.0,100.0
AG1809.SHF,20180813,3643.0,3644.0,3642.0,3649.0,3637.0,3641.0,3639.0,-3.0,-5.0,22.0,120.108,1052.0,-18.0
AG1810.SHF,20180813,3658.0,3653.0,3664.0,3664.0,3656.0,3661.0,3663.0,8.0,10.0,24.0,131.871,178.0,0.0
AG1811.SHF,20180813,3669.0,3669.0,,,,3669.0,3669.0,0.0,0.0,0.0,0.0,178.0,0.0
AG1812.SHF,20180813,3678.0,3683.0,3684.0,3691.0,3671.0,3676.0,3679.0,-7.0,-4.0,282160.0,1557412.512,770872.0,18180.0
AG1901.SHF,20180813,3696.0,3698.0,3701.0,3709.0,3686.0,3688.0,3697.0,-10.0,-1.0,24.0,133.116,308.0,-2.0
AG1902.SHF,20180813,3712.0,3715.0,,,,3715.0,3715.0,0.0,0.0,0.0,0.0,150.0,0.0
AG1903.SHF,20180813,3731.0,3731.0,,,,3731.0,3731.0,0.0,0.0,0.0,0.0,134.0,0.0
AG1904.SHF,20180813,3742.0,3742.0,3736.0,3737.0,3736.0,3737.0,3736.0,-5.0,-6.0,4.0,22.419,914.0,-2.0
AG1905.SHF,20180813,3766.0,3766.0,3753.0,3754.0,3753.0,3754.0,3753.0,-12.0,-13.0,4.0,22.521,196.0,-4.0
AG1906.SHF,20180813,3767.0,3773.0,3772.0,3783.0,3761.0,3766.0,3770.0,-7.0,-3.0,3638.0,20575.371,17832.0,410.0
AG1907.SHF,20180813,3802.0,3802.0,3801.0,3814.0,3788.0,3788.0,3799.0,-14.0,-3.0,10.0,56.988,22.0,2.0
