ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20150824,4281.0,4292.0,4278.0,4284.0,4172.0,4197.0,4225.0,-95.0,-67.0,166944.0,705464.91,127524.0,
A1509.DCE,20150824,4167.0,4170.0,4162.0,4162.0,4069.0,4082.0,4104.0,-88.0,-66.0,6582.0,27016.3,15236.0,-1092.0
A1511.DCE,20150824,4205.0,4213.0,4190.0,4190.0,4190.0,4190.0,4190.0,-23.0,-23.0,4.0,16.76,120.0,-2.0
A1601.DCE,20150824,4281.0,4292.0,4278.0,4284.0,4172.0,4197.0,4225.0,-95.0,-67.0,166944.0,705464.91,127524.0,-5466.0
A1603.DCE,20150824,4315.0,4315.0,4232.0,4232.0,4211.0,4211.0,4225.0,-104.0,-90.0,6.0,25.35,64.0,6.0
A1605.DCE,20150824,4422.0,4429.0,4423.0,4424.0,4319.0,4337.0,4361.0,-92.0,-68.0,13454.0,58679.16,29724.0,-882.0
A1607.DCE,20150824,4439.0,4460.0,,,,4392.0,4392.0,-68.0,-68.0,0.0,0.0,10.0,0.0
A1609.DCE,20150824,4477.0,4474.0,4447.0,4499.0,4379.0,4379.0,4421.0,-95.0,-53.0,162.0,716.3,736.0,-32.0
A1611.DCE,20150824,4491.0,4491.0,,,,4435.0,4435.0,-56.0,-56.0,0.0,0.0,8.0,0.0
A1701.DCE,20150824,4495.0,4499.0,4480.0,4486.0,4401.0,4409.0,4449.0,-90.0,-50.0,80.0,355.93,270.0,-12.0
AG.SHF,20150824,3499.0,3513.0,3490.0,3506.0,3414.0,3427.0,3459.0,-86.0,-54.0,2584172.0,13408104.942,483962.0,
AG1509.SHF,20150824,3454.0,3466.0,3479.0,3479.0,3374.0,3374.0,3405.0,-92.0,-61.0,326.0,1665.126,1040.0,20.0
AG1510.SHF,20150824,3470.0,3489.0,3464.0,3464.0,3392.0,3396.0,3428.0,-93.0,-61.0,56.0,287.973,640.0,-10.0
AG1511.SHF,20150824,3524.0,3506.0,3487.0,3487.0,3412.0,3412.0,3457.0,-94.0,-49.0,82.0,425.292,418.0,2.0
AG1512.SHF,20150824,3499.0,3513.0,3490.0,3506.0,3414.0,3427.0,3459.0,-86.0,-54.0,2584172.0,13408104.942,483962.0,-29704.0
