ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20210730,5714.0,5722.0,5688.0,5756.0,5637.0,5678.0,5693.0,-44.0,-29.0,165455.0,941979.33,81868.0,
A2109.DCE,20210730,5714.0,5722.0,5688.0,5756.0,5637.0,5678.0,5693.0,-44.0,-29.0,165455.0,941979.33,81868.0,8886.0
A2111.DCE,20210730,5744.0,5754.0,5786.0,5796.0,5670.0,5709.0,5726.0,-45.0,-28.0,56036.0,320906.07,99222.0,8231.0
A2201.DCE,20210730,5778.0,5783.0,5787.0,5817.0,5705.0,5741.0,5756.0,-42.0,-27.0,20005.0,115157.3,36868.0,2918.0
A2203.DCE,20210730,5788.0,5785.0,5778.0,5822.0,5718.0,5750.0,5769.0,-35.0,-16.0,16200.0,93464.43,15705.0,-172.0
A2205.DCE,20210730,5820.0,5840.0,5847.0,5868.0,5766.0,5799.0,5796.0,-41.0,-44.0,181.0,1049.14,1154.0,-4.0
A2207.DCE,20210730,5832.0,5830.0,5804.0,5865.0,5763.0,5789.0,5811.0,-41.0,-19.0,12573.0,73062.74,2905.0,149.0
AG.SHF,20210730,5366.0,5307.0,5394.0,5429.0,5372.0,5404.0,5402.0,97.0,95.0,549327.0,4451292.1275,461845.0,
AG2108.SHF,20210730,5314.0,5260.0,5341.0,5370.0,5321.0,5336.0,5344.0,76.0,84.0,2344.0,18790.1865,7018.0,-644.0
AG2109.SHF,20210730,5320.0,5261.0,5371.0,5382.0,5334.0,5356.0,5356.0,95.0,95.0,14371.0,115471.092,30546.0,-2104.0
AG2110.SHF,20210730,5338.0,5269.0,5363.0,5397.0,5348.0,5374.0,5372.0,105.0,103.0,23627.0,190409.967,19420.0,-272.0
AG2111.SHF,20210730,5352.0,5288.0,5387.0,5412.0,5363.0,5386.0,5386.0,98.0,98.0,5239.0,42332.274,10063.0,-135.0
AG2112.SHF,20210730,5366.0,5307.0,5394.0,5429.0,5372.0,5404.0,5402.0,97.0,95.0,549327.0,4451292.1275,461845.0,-13831.0
AG2201.SHF,20210730,5380.0,5313.0,5427.0,5444.0,5392.0,5416.0,5417.0,103.0,104.0,11349.0,92218.389,18143.0,790.0
AG2202.SHF,20210730,5396.0,5322.0,5420.0,5455.0,5407.0,5436.0,5430.0,114.0,108.0,1187.0,9669.873,3550.0,408.0
AG2203.SHF,20210730,5404.0,5378.0,,,,5438.0,5438.0,60.0,60.0,0.0,0.0,229.0,0.0
AG2204.SHF,20210730,5410.0,5405.0,,,,5415.0,5415.0,10.0,10.0,0.0,0.0,109.0,0.0
AG2205.SHF,20210730,5429.0,5393.0,5460.0,5500.0,5460.0,5468.0,5475.0,75.0,82.0,14.0,114.978,95.0,-5.0
AG2206.SHF,20210730,5452.0,5401.0,5455.0,5511.0,5455.0,5489.0,5489.0,88.0,88.0,323.0,2659.5975,987.0,17.0
AG2207.SHF,20210730,5485.0,5416.0,5488.0,5520.0,5488.0,5498.0,5501.0,82.0,85.0,7.0,57.7665,11.0,1.0
AGL.SHF,20210730,5314.0,5260.0,5341.0,5370.0,5321.0,5336.0,5344.0,76.0,84.0,2344.0,18790.1865,7018.0,
AL.DCE,20210730,5714.0,5722.0,5688.0,5756.0,5637.0,5678.0,5693.0,-44.0,-29.0,165455.0,941979.33,81868.0,
AL.SHF,20210730,19680.0,19570.0,19750.0,20105.0,19710.0,20085.0,19905.0,515.0,335.0,290528.0,2891858.1075,288737.0,
AL2108.SHF,20210730,19660.0,19555.0,19640.0,20100.0,19640.0,20075.0,19880.0,520.0,325.0,29243.0,290715.45,46618.0,-9856.0
AL2109.SHF,20210730,19680.0,19570.0,19750.0,20105.0,19710.0,20085.0,19905.0,515.0,335.0,290528.0,2891858.1075,288737.0,28700.0
AL2110.SHF,20210730,19690.0,19580.0,19750.0,20090.0,19720.0,20075.0,19900.0,495.0,320.0,91528.0,910795.955,131995.0,14418.0
AL2111.SHF,20210730,19655.0,19575.0,19705.0,20045.0,19695.0,20040.0,19875.0,465.0,300.0,22834.0,226914.71,39012.0,1947.0
AL2112.SHF,20210730,19620.0,19550.0,19680.0,20005.0,19655.0,19990.0,19825.0,440.0,275.0,6345.0,62905.9825,12677.0,1623.0
AL2201.SHF,20210730,19585.0,19500.0,19640.0,19945.0,19625.0,19945.0,19770.0,445.0,270.0,2688.0,26571.335,5608.0,673.0
AL2202.SHF,20210730,19525.0,19450.0,19655.0,19880.0,19620.0,19880.0,19715.0,430.0,265.0,376.0,3707.2725,2063.0,80.0
AL2203.SHF,20210730,19470.0,19395.0,19660.0,19830.0,19575.0,19830.0,19745.0,435.0,350.0,125.0,1234.205,500.0,23.0
AL2204.SHF,20210730,19465.0,19330.0,19620.0,19680.0,19590.0,19650.0,19630.0,320.0,300.0,22.0,215.9325,137.0,-8.0
AL2205.SHF,20210730,19505.0,19305.0,19630.0,19800.0,19525.0,19800.0,19640.0,495.0,335.0,41.0,402.625,187.0,-4.0
AL2206.SHF,20210730,19450.0,19325.0,19595.0,19710.0,19490.0,19710.0,19590.0,385.0,265.0,9.0,88.165,128.0,1.0
AL2207.SHF,20210730,19450.0,19385.0,19550.0,19875.0,19545.0,19875.0,19600.0,490.0,215.0,16.0,156.81,56.0,-5.0
ALL.SHF,20210730,19660.0,19555.0,19640.0,20100.0,19640.0,20075.0,19880.0,520.0,325.0,29243.0,290715.45,46618.0,
AP.ZCE,20210730,5952.0,5968.0,5938.0,6050.0,5907.0,5981.0,5970.0,13.0,2.0,240792.0,1437631.21,256353.0,
AP2110.ZCE,20210730,5952.0,5968.0,5938.0,6050.0,5907.0,5981.0,5970.0,13.0,2.0,240792.0,1437631.21,256353.0,-7703.0
AP2111.ZCE,20210730,5797.0,5812.0,5797.0,5860.0,5753.0,5815.0,5802.0,3.0,-10.0,2405.0,13954.93,14440.0,-127.0
AP2112.ZCE,20210730,5842.0,5850.0,5834.0,5914.0,5804.0,5873.0,5854.0,23.0,4.0,1539.0,9009.97,9689.0,-121.0
AP2201.ZCE,20210730,5965.0,5977.0,5961.0,6028.0,5917.0,5989.0,5974.0,12.0,-3.0,39066.0,233368.59,118254.0,-127.0
AP2203.ZCE,20210730,5927.0,5938.0,5930.0,5989.0,5881.0,5938.0,5943.0,0.0,5.0,1683.0,10001.88,8983.0,-135.0
AP2204.ZCE,20210730,6015.0,6027.0,6002.0,6068.0,5970.0,6011.0,6016.0,-16.0,-11.0,278.0,1672.57,6887.0,-28.0
AP2205.ZCE,20210730,6168.0,6178.0,6158.0,6237.0,6114.0,6179.0,6187.0,1.0,9.0,3215.0,19891.69,12704.0,-116.0
APL.ZCE,20210730,5952.0,5968.0,5938.0,6050.0,5907.0,5981.0,5970.0,13.0,2.0,240792.0,1437631.21,256353.0,
