ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20111107,4437.0,4445.0,4428.0,4440.0,4383.0,4394.0,4405.0,-51.0,-40.0,109080.0,480528.32,331354.0,
A1111.DCE,20111107,4016.0,4016.0,,,,4016.0,4016.0,0.0,0.0,0.0,0.0,0.0,0.0
A1201.DCE,20111107,4137.0,4138.0,4121.0,4128.0,4112.0,4113.0,4119.0,-25.0,-19.0,540.0,2224.75,38388.0,-8.0
A1203.DCE,20111107,4222.0,4221.0,4190.0,4190.0,4190.0,4190.0,4190.0,-31.0,-31.0,42.0,175.98,648.0,-42.0
A1205.DCE,20111107,4328.0,4331.0,4343.0,4343.0,4285.0,4289.0,4301.0,-42.0,-30.0,33638.0,144696.23,235182.0,-2818.0
A1207.DCE,20111107,4356.0,4356.0,4320.0,4365.0,4320.0,4324.0,4341.0,-32.0,-15.0,38.0,164.97,160.0,-8.0
A1209.DCE,20111107,4437.0,4445.0,4428.0,4440.0,4383.0,4394.0,4405.0,-51.0,-40.0,109080.0,480528.32,331354.0,10.0
A1211.DCE,20111107,4399.0,4399.0,,,,4399.0,4399.0,0.0,0.0,0.0,0.0,52.0,0.0
A1301.DCE,20111107,4402.0,4404.0,4397.0,4401.0,4343.0,4358.0,4365.0,-46.0,-39.0,5556.0,24256.72,46388.0,2254.0
A1303.DCE,20111107,4372.0,4372.0,4355.0,4365.0,4355.0,4365.0,4364.0,-7.0,-8.0,34.0,148.39,106.0,12.0
AL.DCE,20111107,4016.0,4016.0,,,,4016.0,4016.0,0.0,0.0,0.0,0.0,0.0,
AL.SHF,20111107,16380.0,16330.0,16370.0,16370.0,16250.0,16275.0,16310.0,-55.0,-20.0,18586.0,151571.69,74954.0,
AL1111.SHF,20111107,16340.0,16285.0,16250.0,16270.0,16225.0,16240.0,16245.0,-45.0,-40.0,1410.0,11454.65,20610.0,-610.0
