ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20130930,4593.0,4590.0,4586.0,4645.0,4586.0,4616.0,4622.0,26.0,32.0,40678.0,188013.95,84022.0,
A1311.DCE,20130930,4525.0,4550.0,4545.0,4559.0,4539.0,4550.0,4548.0,0.0,-2.0,14.0,63.68,50.0,-2.0
A1401.DCE,20130930,4593.0,4590.0,4586.0,4645.0,4586.0,4616.0,4622.0,26.0,32.0,40678.0,188013.95,84022.0,-144.0
A1403.DCE,20130930,4385.0,4465.0,4547.0,4563.0,4500.0,4537.0,4541.0,72.0,76.0,22.0,99.91,6.0,-6.0
A1405.DCE,20130930,4486.0,4480.0,4475.0,4527.0,4475.0,4500.0,4510.0,20.0,30.0,22352.0,100825.62,65274.0,-4912.0
A1407.DCE,20130930,4464.0,4464.0,,,,4493.0,4493.0,29.0,29.0,0.0,0.0,28.0,0.0
A1409.DCE,20130930,4393.0,4391.0,4390.0,4413.0,4377.0,4404.0,4403.0,13.0,12.0,1448.0,6375.69,13218.0,320.0
A1411.DCE,20130930,4370.0,4370.0,,,,4381.0,4381.0,11.0,11.0,0.0,0.0,20.0,0.0
A1501.DCE,20130930,4400.0,4400.0,4390.0,4410.0,4390.0,4409.0,4406.0,9.0,6.0,88.0,387.78,1920.0,-20.0
A1503.DCE,20130930,4395.0,4395.0,4398.0,4398.0,4398.0,4398.0,4398.0,3.0,3.0,2.0,8.8,4.0,0.0
AG.SHF,20130930,4362.0,4399.0,4410.0,4418.0,4374.0,4400.0,4402.0,1.0,3.0,1342150.0,8863251.072,314850.0,
AG1310.SHF,20130930,4337.0,4355.0,4381.0,4440.0,4339.0,4439.0,4370.0,84.0,15.0,124.0,812.91,1916.0,8.0
AG1311.SHF,20130930,4364.0,4394.0,4394.0,4399.0,4367.0,4380.0,4388.0,-14.0,-6.0,48.0,315.948,234.0,-8.0
AG1312.SHF,20130930,4362.0,4399.0,4410.0,4418.0,4374.0,4400.0,4402.0,1.0,3.0,1342150.0,8863251.072,314850.0,-80754.0
AG1401.SHF,20130930,4380.0,4402.0,4423.0,4428.0,4383.0,4409.0,4410.0,7.0,8.0,22220.0,147010.101,21926.0,-1202.0
AG1402.SHF,20130930,4395.0,4418.0,4426.0,4433.0,4400.0,4400.0,4421.0,-18.0,3.0,34.0,225.471,458.0,10.0
AG1403.SHF,20130930,4400.0,4401.0,4428.0,4429.0,4401.0,4419.0,4415.0,18.0,14.0,136.0,900.837,2426.0,40.0
AG1404.SHF,20130930,4412.0,4412.0,,,,4426.0,4426.0,14.0,14.0,0.0,0.0,200.0,0.0
AG1405.SHF,20130930,4424.0,4453.0,,,,4468.0,4468.0,15.0,15.0,0.0,0.0,260.0,0.0
AG1406.SHF,20130930,4422.0,4449.0,4475.0,4477.0,4429.0,4456.0,4450.0,7.0,1.0,1680.0,11215.341,6082.0,184.0
AG1407.SHF,20130930,4457.0,4490.0,4473.0,4473.0,4444.0,4458.0,4456.0,-32.0,-34.0,380.0,2540.202,200.0,-70.0
AG1408.SHF,20130930,4475.0,4499.0,4493.0,4493.0,4469.0,4491.0,4480.0,-8.0,-19.0,48.0,322.578,124.0,-4.0
AG1409.SHF,20130930,4471.0,4476.0,4488.0,4513.0,4473.0,4488.0,4492.0,12.0,16.0,50.0,336.93,18.0,0.0
AGL.SHF,20130930,4337.0,4355.0,4381.0,4440.0,4339.0,4439.0,4370.0,84.0,15.0,124.0,812.91,1916.0,
AL.DCE,20130930,4525.0,4550.0,4545.0,4559.0,4539.0,4550.0,4548.0,0.0,-2.0,14.0,63.68,50.0,
AL.SHF,20130930,14260.0,14255.0,14290.0,14320.0,14270.0,14315.0,14285.0,60.0,30.0,7200.0,51440.9,73842.0,
AL1310.SHF,20130930,14440.0,14425.0,14430.0,14450.0,14420.0,14450.0,14430.0,25.0,5.0,4188.0,30225.615,17528.0,-1600.0
AL1311.SHF,20130930,14330.0,14325.0,14340.0,14375.0,13610.0,14305.0,14355.0,-20.0,30.0,4956.0,35578.025,34292.0,-958.0
AL1312.SHF,20130930,14260.0,14255.0,14290.0,14320.0,14270.0,14315.0,14285.0,60.0,30.0,7200.0,51440.9,73842.0,-3290.0
AL1401.SHF,20130930,14230.0,14220.0,14250.0,14285.0,14230.0,14285.0,14250.0,65.0,30.0,6202.0,44199.18,51482.0,-426.0
AL1402.SHF,20130930,14230.0,14215.0,14240.0,14285.0,14230.0,14285.0,14245.0,70.0,30.0,1452.0,10344.035,19400.0,622.0
AL1403.SHF,20130930,14235.0,14220.0,14235.0,14280.0,14225.0,14270.0,14240.0,50.0,20.0,800.0,5697.885,10986.0,274.0
AL1404.SHF,20130930,14230.0,14240.0,14230.0,14345.0,14230.0,14285.0,14250.0,45.0,10.0,458.0,3263.255,3346.0,146.0
AL1405.SHF,20130930,14230.0,14235.0,14200.0,14285.0,14200.0,14285.0,14270.0,50.0,35.0,114.0,813.435,1020.0,80.0
AL1406.SHF,20130930,14270.0,14260.0,,,,14260.0,14260.0,0.0,0.0,0.0,0.0,28.0,0.0
AL1407.SHF,20130930,14245.0,14245.0,,,,14280.0,14280.0,35.0,35.0,0.0,0.0,22.0,0.0
AL1408.SHF,20130930,14320.0,14320.0,,,,14355.0,14355.0,35.0,35.0,0.0,0.0,30.0,0.0
AL1409.SHF,20130930,14330.0,14330.0,,,,14365.0,14365.0,35.0,35.0,0.0,0.0,2.0,0.0
ALL.SHF,20130930,14440.0,14425.0,14430.0,14450.0,14420.0,14450.0,14430.0,25.0,5.0,4188.0,30225.615,17528.0,
AU.SHF,20130930,264.2,264.6,266.5,267.75,266.0,267.4,266.9,2.8,2.3,120910.0,3227525.16,96634.0,
AU1310.SHF,20130930,258.4,262.7,259.5,263.85,259.5,263.05,262.1,0.35,-0.6,16.0,419.42,6.0,0.0
AU1311.SHF,20130930,264.05,264.55,266.0,266.75,265.8,266.7,266.35,2.15,1.8,72.0,1917.85,458.0,-26.0
AU1312.SHF,20130930,264.2,264.6,266.5,267.75,266.0,267.4,266.9,2.8,2.3,120910.0,3227525.16,96634.0,-6058.0
AU1401.SHF,20130930,264.0,264.45,266.65,267.3,265.95,266.15,266.7,1.7,2.25,438.0,11681.86,574.0,-8.0
AU1402.SHF,20130930,264.8,265.3,266.85,267.5,265.3,267.5,266.95,2.2,1.65,12.0,320.38,20.0,-4.0
AU1403.SHF,20130930,264.7,265.5,266.85,266.85,266.85,266.85,266.85,1.35,1.35,2.0,53.37,36.0,-2.0
AU1404.SHF,20130930,265.1,265.15,,,,266.45,266.45,1.3,1.3,0.0,0.0,30.0,0.0
AU1405.SHF,20130930,263.8,263.8,266.8,267.15,266.15,267.15,266.55,3.35,2.75,8.0,213.25,12.0,2.0
AU1406.SHF,20130930,264.4,264.7,266.85,267.6,266.2,267.55,267.2,2.85,2.5,2960.0,79098.01,29162.0,1432.0
AU1407.SHF,20130930,265.2,265.6,,,,268.1,268.1,2.5,2.5,0.0,0.0,4.0,0.0
AU1408.SHF,20130930,261.0,261.0,267.7,267.7,267.6,267.6,267.65,6.6,6.65,4.0,107.06,8.0,2.0
AUL.SHF,20130930,258.4,262.7,259.5,263.85,259.5,263.05,262.1,0.35,-0.6,16.0,419.42,6.0,
B.DCE,20130930,4095.0,4086.0,,,,4091.0,4091.0,5.0,5.0,0.0,0.0,120.0,
B1311.DCE,20130930,4122.0,4122.0,,,,4122.0,4122.0,0.0,0.0,0.0,0.0,2.0,0.0
B1401.DCE,20130930,4095.0,4086.0,,,,4091.0,4091.0,5.0,5.0,0.0,0.0,120.0,0.0
