ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20120510,4513.0,4519.0,4522.0,4546.0,4507.0,4539.0,4524.0,20.0,5.0,105674.0,478141.01,271896.0,
A1205.DCE,20120510,4333.0,4328.0,4330.0,4330.0,4330.0,4330.0,4330.0,2.0,2.0,20.0,86.6,1794.0,-2836.0
A1207.DCE,20120510,4389.0,4366.0,4376.0,4404.0,4376.0,4384.0,4384.0,18.0,18.0,42.0,184.15,144.0,2.0
A1209.DCE,20120510,4437.0,4441.0,4438.0,4465.0,4438.0,4463.0,4450.0,22.0,9.0,11354.0,50530.21,83278.0,1096.0
A1211.DCE,20120510,4476.0,4466.0,4476.0,4476.0,4466.0,4473.0,4472.0,7.0,6.0,32.0,143.12,190.0,-2.0
A1301.DCE,20120510,4513.0,4519.0,4522.0,4546.0,4507.0,4539.0,4524.0,20.0,5.0,105674.0,478141.01,271896.0,800.0
A1303.DCE,20120510,4569.0,4556.0,4556.0,4574.0,4516.0,4558.0,4549.0,2.0,-7.0,14.0,63.7,64.0,0.0
A1305.DCE,20120510,4589.0,4601.0,4591.0,4625.0,4584.0,4624.0,4606.0,23.0,5.0,16680.0,76829.57,167230.0,2906.0
A1307.DCE,20120510,4612.0,4629.0,,,,4629.0,4629.0,0.0,0.0,0.0,0.0,118.0,0.0
A1309.DCE,20120510,4653.0,4663.0,4663.0,4681.0,4635.0,4678.0,4656.0,15.0,-7.0,4568.0,21271.47,18976.0,2180.0
AG.SHF,20120510,,6166.0,6190.0,6196.0,6082.0,6140.0,6126.0,-26.0,-40.0,259996.0,2389296.075,33726.0,
AG1209.SHF,20120510,,6166.0,6190.0,6196.0,6082.0,6140.0,6126.0,-26.0,-40.0,259996.0,2389296.075,33726.0,33726.0
AG1210.SHF,20120510,,6166.0,6196.0,6230.0,6104.0,6160.0,6164.0,-6.0,-2.0,598.0,5529.885,78.0,78.0
AG1211.SHF,20120510,,6166.0,6200.0,6200.0,6113.0,6179.0,6164.0,13.0,-2.0,174.0,1608.81,42.0,42.0
AG1212.SHF,20120510,,6166.0,6166.0,6188.0,6118.0,6168.0,6152.0,2.0,-14.0,87484.0,807314.379,15430.0,15430.0
AG1301.SHF,20120510,,6166.0,6166.0,6257.0,6129.0,6177.0,6162.0,11.0,-4.0,394.0,3641.931,94.0,94.0
AG1302.SHF,20120510,,6166.0,6036.0,6237.0,6035.0,6185.0,6144.0,19.0,-22.0,462.0,4258.386,46.0,46.0
AG1303.SHF,20120510,,6166.0,6214.0,6214.0,6125.0,6151.0,6158.0,-15.0,-8.0,48.0,443.442,24.0,24.0
AG1304.SHF,20120510,,6166.0,6160.0,6160.0,6150.0,6156.0,6154.0,-10.0,-12.0,8.0,73.848,8.0,8.0
AGL.SHF,20120510,,6166.0,6190.0,6196.0,6082.0,6140.0,6126.0,-26.0,-40.0,259996.0,2389296.075,33726.0,
AL.DCE,20120510,4333.0,4328.0,4330.0,4330.0,4330.0,4330.0,4330.0,2.0,2.0,20.0,86.6,1794.0,
AL.SHF,20120510,16150.0,16160.0,16150.0,16170.0,16120.0,16145.0,16135.0,-15.0,-25.0,15880.0,128142.235,96014.0,
AL1205.SHF,20120510,16070.0,16075.0,16065.0,16070.0,16050.0,16060.0,16060.0,-15.0,-15.0,3560.0,28589.925,19510.0,1620.0
AL1206.SHF,20120510,16090.0,16080.0,16070.0,16080.0,16060.0,16075.0,16070.0,-5.0,-10.0,2860.0,22986.94,36394.0,576.0
AL1207.SHF,20120510,16130.0,16130.0,16130.0,16135.0,16105.0,16120.0,16120.0,-10.0,-10.0,5326.0,42927.84,57014.0,-1060.0
AL1208.SHF,20120510,16150.0,16160.0,16150.0,16170.0,16120.0,16145.0,16135.0,-15.0,-25.0,15880.0,128142.235,96014.0,6884.0
AL1209.SHF,20120510,16195.0,16195.0,16190.0,16200.0,16155.0,16190.0,16175.0,-5.0,-20.0,8178.0,66150.585,38392.0,4454.0
AL1210.SHF,20120510,16240.0,16240.0,16200.0,16230.0,16190.0,16220.0,16205.0,-20.0,-35.0,1964.0,15916.41,5078.0,624.0
AL1211.SHF,20120510,16310.0,16300.0,16280.0,16280.0,16230.0,16230.0,16235.0,-70.0,-65.0,108.0,876.875,686.0,-12.0
AL1212.SHF,20120510,16285.0,16320.0,16280.0,16280.0,16280.0,16280.0,16280.0,-40.0,-40.0,8.0,65.12,242.0,4.0
AL1301.SHF,20120510,16335.0,16330.0,16310.0,16320.0,16310.0,16320.0,16315.0,-10.0,-15.0,4.0,32.63,274.0,0.0
AL1302.SHF,20120510,16485.0,16485.0,,,,16485.0,16485.0,0.0,0.0,0.0,0.0,36.0,0.0
AL1303.SHF,20120510,16630.0,16630.0,16400.0,16400.0,16400.0,16400.0,16400.0,-230.0,-230.0,6.0,49.2,44.0,-6.0
AL1304.SHF,20120510,16580.0,16580.0,16380.0,16510.0,16380.0,16510.0,16445.0,-70.0,-135.0,22.0,180.9,8.0,0.0
ALL.SHF,20120510,16070.0,16075.0,16065.0,16070.0,16050.0,16060.0,16060.0,-15.0,-15.0,3560.0,28589.925,19510.0,
AU.SHF,20120510,325.91,326.74,326.37,326.84,325.81,326.4,326.36,-0.34,-0.38,45286.0,1477979.098,121428.0,
AU1205.SHF,20120510,336.5,336.5,,,,336.5,336.5,0.0,0.0,0.0,0.0,102.0,0.0
AU1206.SHF,20120510,325.89,326.35,326.0,326.6,325.4,326.29,326.08,-0.06,-0.27,1314.0,42847.518,4930.0,-306.0
AU1207.SHF,20120510,327.2,327.58,,,,327.31,327.31,-0.27,-0.27,0.0,0.0,56.0,0.0
AU1208.SHF,20120510,327.19,327.15,326.9,327.49,323.32,327.49,325.87,0.34,-1.28,40.0,1303.512,52.0,16.0
AU1209.SHF,20120510,326.88,327.7,327.3,327.83,326.88,327.53,327.27,-0.17,-0.43,140.0,4581.904,166.0,14.0
AU1210.SHF,20120510,326.19,326.2,326.1,326.75,326.1,326.75,326.59,0.55,0.39,14.0,457.226,84.0,-6.0
AU1211.SHF,20120510,326.78,326.78,,,,327.17,327.17,0.39,0.39,0.0,0.0,22.0,0.0
AU1212.SHF,20120510,325.91,326.74,326.37,326.84,325.81,326.4,326.36,-0.34,-0.38,45286.0,1477979.098,121428.0,30.0
AU1301.SHF,20120510,326.11,326.62,,,,326.24,326.24,-0.38,-0.38,0.0,0.0,10.0,0.0
AU1302.SHF,20120510,325.8,326.16,327.29,327.29,326.72,326.72,327.0,0.56,0.84,4.0,130.802,34.0,0.0
AU1303.SHF,20120510,325.77,325.77,,,,326.61,326.61,0.84,0.84,0.0,0.0,16.0,0.0
AU1304.SHF,20120510,325.74,325.74,,,,326.58,326.58,0.84,0.84,0.0,0.0,8.0,0.0
AUL.SHF,20120510,336.5,336.5,,,,336.5,336.5,0.0,0.0,0.0,0.0,102.0,
B.DCE,20120510,5070.0,5070.0,5005.0,5030.0,5001.0,5030.0,5007.0,-40.0,-63.0,40.0,200.29,40.0,
B1205.DCE,20120510,4990.0,4990.0,,,,4990.0,4990.0,0.0,0.0,0.0,0.0,0.0,0.0
B1207.DCE,20120510,4985.0,4985.0,,,,4985.0,4985.0,0.0,0.0,0.0,0.0,4.0,0.0
B1209.DCE,20120510,4863.0,4874.0,4880.0,4900.0,4879.0,4900.0,4890.0,26.0,16.0,28.0,136.93,60.0,6.0
B1211.DCE,20120510,4992.0,4992.0,,,,4992.0,4992.0,0.0,0.0,0.0,0.0,4.0,0.0
B1301.DCE,20120510,4961.0,4973.0,4968.0,4993.0,4968.0,4979.0,4981.0,6.0,8.0,74.0,368.62,30.0,16.0
B1303.DCE,20120510,5070.0,5070.0,5005.0,5030.0,5001.0,5030.0,5007.0,-40.0,-63.0,40.0,200.29,40.0,-24.0
BL.DCE,20120510,4990.0,4990.0,,,,4990.0,4990.0,0.0,0.0,0.0,0.0,0.0,
C.DCE,20120510,2407.0,2414.0,2406.0,2415.0,2398.0,2412.0,2407.0,-2.0,-7.0,348460.0,838801.32,845298.0,
C1205.DCE,20120510,2415.0,2415.0,,,,2415.0,2415.0,0.0,0.0,0.0,0.0,1218.0,0.0
C1207.DCE,20120510,2412.0,2418.0,2409.0,2416.0,2404.0,2412.0,2410.0,-6.0,-8.0,28.0,67.5,76.0,0.0
C1209.DCE,20120510,2407.0,2414.0,2406.0,2415.0,2398.0,2412.0,2407.0,-2.0,-7.0,348460.0,838801.32,845298.0,5780.0
C1211.DCE,20120510,2329.0,2334.0,2313.0,2325.0,2309.0,2325.0,2315.0,-9.0,-19.0,28.0,64.84,284.0,-2.0
C1301.DCE,20120510,2287.0,2299.0,2285.0,2293.0,2270.0,2291.0,2281.0,-8.0,-18.0,222512.0,507595.76,308368.0,20884.0
C1303.DCE,20120510,2307.0,2309.0,2303.0,2303.0,2285.0,2296.0,2291.0,-13.0,-18.0,56.0,128.34,224.0,6.0
CF.ZCE,20120510,20575.0,20655.0,20550.0,20610.0,20430.0,20490.0,20510.0,-165.0,-145.0,158092.0,1621048.96,398204.0,
CF1205.ZCE,20120510,19790.0,19980.0,19890.0,19910.0,19735.0,19790.0,19820.0,-190.0,-160.0,1962.0,19443.88,25578.0,-218.0
CF1207.ZCE,20120510,20165.0,20330.0,20210.0,20260.0,20100.0,20165.0,20185.0,-165.0,-145.0,7266.0,73338.83,44166.0,5864.0
CF1209.ZCE,20120510,20490.0,20655.0,20550.0,20610.0,20430.0,20490.0,20510.0,-165.0,-145.0,158092.0,1621048.96,398204.0,4538.0
CF1211.ZCE,20120510,20635.0,20760.0,20710.0,20710.0,20580.0,20635.0,20635.0,-125.0,-125.0,64.0,660.31,2020.0,20.0
CF1301.ZCE,20120510,20880.0,20975.0,20900.0,20955.0,20800.0,20880.0,20880.0,-95.0,-95.0,26118.0,272675.69,98300.0,1070.0
CF1303.ZCE,20120510,21090.0,21190.0,21130.0,21145.0,20995.0,21090.0,21110.0,-100.0,-80.0,180.0,1899.89,1224.0,-34.0
