Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
Kurtosis,{'N': 40},1,0.3983,110.0968,0.3279,16.3666
Kurtosis,{'N': 30},2,0.3583,124.5915,0.3507,14.4138
Kurtosis,{'N': 50},3,0.3373,132.2734,0.3305,19.563
OvernightVsIntraday,{'N': 50},1,0.1851,13.9695,0.4042,18.8911
OvernightVsIntraday,{'N': 40},2,0.1659,11.7243,0.4301,19.2021
OvernightVsIntraday,{'N': 30},3,0.1073,6.8926,0.373,15.142
Skewness,{'N': 40},1,0.3474,62.3793,0.1902,7.8566
Skewness,{'N': 50},2,0.3369,79.2156,0.2551,11.3806
Skewness,{'N': 30},3,0.333,59.1501,0.197,7.3553
NoiseFader,{'N': 10},1,-0.3569,-6.5652,-0.4853,-12.3316
NoiseFader,{'N': 60},2,-0.4076,-17.3629,-0.4545,-24.0731
NoiseFader,{'N': 50},3,-0.5023,-20.8236,-0.5582,-29.0338
ShortTermReversal,{'N': 60},1,-0.1887,-18.6431,-0.4545,-24.0731
ShortTermReversal,{'N': 50},2,-0.2715,-24.8415,-0.5582,-29.0338
ShortTermReversal,{'N': 10},3,-0.3225,-18.1341,-0.4853,-12.3316
AmihudIlliquidity,{'N': 10},1,0.0337,13.8109,-0.0183,-2.1852
AmihudIlliquidity,{'N': 20},2,-0.089,-52.7581,-0.0804,-10.015
AmihudIlliquidity,{'N': 30},3,-0.1668,-64.1829,-0.0893,-11.1197
BuyingSellingPressure,{'N': 40},1,0.6384,31.1062,0.5469,20.8047
BuyingSellingPressure,{'N': 30},2,0.5908,26.3109,0.5791,20.4876
BuyingSellingPressure,{'N': 50},3,0.4733,24.9083,0.453,17.7338
BollingerBands,{'N': 50},1,0.5062,25.2417,0.5062,25.2417
BollingerBands,{'N': 60},2,0.505,27.154,0.505,27.154
BollingerBands,{'N': 30},3,0.482,18.7046,0.482,18.7046
DonchianChannel,{'N': 40},1,0.727,34.0741,0.728,31.0187
DonchianChannel,{'N': 30},2,0.7229,30.1498,0.725,27.239
DonchianChannel,{'N': 50},3,0.6812,34.5951,0.6734,30.918
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",1,0.4329,35.2226,0.6963,37.7648
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,0.4164,35.9736,0.7605,40.024
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",3,0.346,22.803,0.7018,25.8413
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,0.4157,32.8686,0.6775,32.6496
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,0.2981,18.7867,0.4723,17.3967
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",3,0.2055,6.8964,-0.0361,-0.7244
MovingAverageBias,{'N': 40},1,0.4158,34.9291,0.76,34.6531
MovingAverageBias,{'N': 50},2,0.3969,35.5624,0.7278,35.9053
MovingAverageBias,{'N': 30},3,0.3963,30.1967,0.7577,31.0008
RSI,{'N': 20},1,0.6148,48.2443,0.7658,30.9998
RSI,{'N': 30},2,0.5969,62.7717,0.7735,35.9734
RSI,{'N': 10},3,0.5456,27.4493,0.5321,15.6424
TimeSeriesMomentum,{'N': 30},1,0.4191,34.1599,0.7731,36.0362
TimeSeriesMomentum,{'N': 40},2,0.3894,34.1357,0.6927,35.3328
TimeSeriesMomentum,{'N': 20},3,0.37,27.5687,0.7651,31.0135
ATR,{'N': 50},1,0.1864,26.9145,0.0116,1.4211
ATR,{'N': 60},2,0.1842,26.4047,0.0078,0.9654
ATR,{'N': 20},3,0.1763,28.9094,0.0196,2.3946
DownsideUpsideVolatility,{'N': 20},1,0.4819,46.9367,0.5302,20.0894
DownsideUpsideVolatility,{'N': 30},2,0.4759,62.9903,0.554,24.5046
DownsideUpsideVolatility,{'N': 10},3,0.4391,25.5183,0.3647,10.1139
HistoricalVolatility,{'N': 20},1,0.1772,38.7365,-0.0804,-10.015
HistoricalVolatility,{'N': 10},2,0.1603,21.6077,-0.0183,-2.1852
HistoricalVolatility,{'N': 50},3,0.1494,21.4178,-0.0787,-9.8051
IntradayAmplitude,{'N': 50},1,0.1997,29.2491,0.0116,1.4211
IntradayAmplitude,{'N': 60},2,0.1942,28.2342,0.0078,0.9654
IntradayAmplitude,{'N': 40},3,0.194,28.7139,0.0083,1.0148
VIXFix,{'N': 60},1,-0.043,-4.7066,-0.0077,-0.8976
