Factor,Parameters,Mode,SharpRatio,POT
DownsideUpsideVolatility,{'N': 10},RAW,0.4391,25.5183
DownsideUpsideVolatility,{'N': 10},STATE_MACHINE,0.3647,10.1139
DownsideUpsideVolatility,{'N': 20},RAW,0.4819,46.9367
DownsideUpsideVolatility,{'N': 20},STATE_MACHINE,0.5302,20.0894
DownsideUpsideVolatility,{'N': 30},RAW,0.4759,62.9903
DownsideUpsideVolatility,{'N': 30},STATE_MACHINE,0.554,24.5046
DownsideUpsideVolatility,{'N': 40},RAW,0.4263,68.7352
DownsideUpsideVolatility,{'N': 40},STATE_MACHINE,0.5335,25.297
DownsideUpsideVolatility,{'N': 50},RAW,0.3754,70.6928
DownsideUpsideVolatility,{'N': 50},STATE_MACHINE,0.4591,22.4889
DownsideUpsideVolatility,{'N': 60},RAW,0.3252,69.3096
DownsideUpsideVolatility,{'N': 60},STATE_MACHINE,0.333,17.0546
