Factor,Parameters,Mode,SharpRatio,POT
VolumeMomentum,{'N': 10},RAW,0.2166,10.5434
VolumeMomentum,{'N': 10},STATE_MACHINE,0.1303,2.3394
VolumeMomentum,{'N': 20},RAW,0.2283,12.0303
VolumeMomentum,{'N': 20},STATE_MACHINE,-0.0599,-1.5544
VolumeMomentum,{'N': 30},RAW,0.2059,12.5251
VolumeMomentum,{'N': 30},STATE_MACHINE,-0.0879,-2.7753
VolumeMomentum,{'N': 40},RAW,0.3184,20.8719
VolumeMomentum,{'N': 40},STATE_MACHINE,0.0283,1.1019
VolumeMomentum,{'N': 50},RAW,0.3942,29.6167
VolumeMomentum,{'N': 50},STATE_MACHINE,0.149,7.4544
VolumeMomentum,{'N': 60},RAW,0.5305,45.8116
VolumeMomentum,{'N': 60},STATE_MACHINE,0.2879,17.1656
