Factor,Parameters,Mode,SharpRatio,POT
OvernightVsIntraday,{'N': 10},RAW,0.012,0.475
OvernightVsIntraday,{'N': 10},STATE_MACHINE,0.1791,4.1816
OvernightVsIntraday,{'N': 20},RAW,0.0537,2.894
OvernightVsIntraday,{'N': 20},STATE_MACHINE,0.4068,13.763
OvernightVsIntraday,{'N': 30},RAW,0.1073,6.8926
OvernightVsIntraday,{'N': 30},STATE_MACHINE,0.373,15.142
OvernightVsIntraday,{'N': 40},RAW,0.1659,11.7243
OvernightVsIntraday,{'N': 40},STATE_MACHINE,0.4301,19.2021
OvernightVsIntraday,{'N': 50},RAW,0.1851,13.9695
OvernightVsIntraday,{'N': 50},STATE_MACHINE,0.4042,18.8911
OvernightVsIntraday,{'N': 60},RAW,0.0733,5.6887
OvernightVsIntraday,{'N': 60},STATE_MACHINE,0.3224,15.4942
