trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0019161971671185721,0.0,0.0,0.0,0.0,0.0
20100119,-0.007440052680179382,0.0,0.0,0.0,0.0,0.0
20100120,0.04669334564656838,0.0,0.0,0.0,0.0,0.0
20100121,-0.0395622540391379,0.0,0.0,0.0,0.0,0.0
20100122,0.0037010688458879045,0.0,0.0,0.0,0.0,0.0
20100125,0.0034654962887844436,0.0,0.0,0.0,0.0,0.0
20100126,0.03380316532670861,0.0,0.0,0.0,0.0,0.0
20100127,-0.019431574305678868,0.0,0.0,0.0,0.0,0.0
20100128,0.029298949777903892,0.0,0.0,0.0,0.0,0.0
20100129,0.021366858916580918,0.0,0.0,0.0,0.0,0.0
20100201,0.05576063493323137,0.0332256171450763,0.0,0.0,0.0,0.0
20100202,0.016067971028894932,0.014848422797714636,0.0,0.0,0.0,0.0
20100203,-0.09079905554319384,-0.10874797417325287,0.0,0.0,0.0,0.0
20100204,0.035606014868442296,0.047815256043240474,0.0,0.0,0.0,0.0
20100205,-0.01572543087591901,-0.023015141833771156,0.0,0.0,0.0,0.0
20100208,-0.039968170756137504,-0.06808560787195726,0.0,0.0,0.0,0.0
20100209,-0.0022817467519637424,-0.004496618217085874,0.0,0.0,0.0,0.0
20100210,0.00902009845459752,0.019796615900925137,0.0,0.0,0.0,0.0
20100211,-0.015617973358379274,-0.04987766675735188,0.0,0.0,0.0,0.0
20100212,-0.0024991685035526817,0.007400276748575177,0.0,0.0,0.0,0.0
20100222,0.012487727624678997,-0.03500266473453193,-0.013859238815432101,0.0,0.0,0.0
20100223,0.019497115590973835,-0.026671860124675678,-0.013236833659703252,0.0,0.0,0.0
