trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,0.0,0.0,0.0,,
20100202,0.0,0.0,0.0,,
20100203,0.0,0.0,0.0,,
20100204,0.0,0.0,0.0,,
20100205,0.0,0.0,0.0,,
20100208,0.0,0.0,0.0,,
20100209,0.0,0.0,0.0,,
20100210,0.0,0.0,0.0,,
20100211,0.0,0.0,0.0,,
20100212,0.0,0.0,0.0,,
20100222,0.0,0.0,0.0,,
20100223,0.0,0.0,0.0,,
20100224,0.0,0.0,0.0,,
20100225,0.0,0.0,0.0,,
20100226,0.0,0.0,0.0,,
20100301,0.0,0.0,0.0,,
20100302,0.0,0.0,0.0,,
20100303,0.0,0.0,0.0,,
20100304,0.0,0.0,0.0,,
20100305,0.0,0.0,0.0,,
20100308,0.0,0.0,0.0,,
20100309,0.0,0.0,0.0,,
20100310,0.0,0.0,0.0,,
20100311,0.0,0.0,0.0,,
20100312,0.0,0.0,0.0,,
20100315,0.0,0.0,0.0,,
20100316,0.0,0.0,0.0,,
20100317,0.0,0.0,0.0,,
20100318,0.0,0.0,0.0,,
20100319,-17.89033273739138,-26.011689300844502,-17.57162496397298,,
20100322,-33.27229903847924,-50.022906004953015,-34.40009452111695,,
20100323,-48.25987865802505,-72.02779031076332,-49.27009166763751,,
20100324,-60.5177881528472,-91.86021525986895,-61.91978013582076,,
20100325,-70.81015694677035,-109.52192377449485,-72.7705660270556,,
20100326,-79.44691753203104,-123.45050544747089,-81.69714087810817,,
20100329,-87.65884043839577,-136.0682995786467,-89.52153531055062,,
20100330,-95.3088061005316,-143.7152480714084,-96.12865757088265,,
20100331,-101.65272776668041,-83.31056245815388,-54.664206463673516,,
20100401,-108.94192944177495,-29.339422581822827,-19.132965219477178,,
20100402,-114.8635690631683,17.430424864013855,17.142394746251913,,
20100406,-120.14904083590963,56.12170198598092,47.027156958974565,,
20100407,-124.11427566133911,80.33471375500264,67.96141353502588,,
20100408,-76.03069238080316,99.72448186974448,85.77763867681293,,
20100409,-36.645427208548895,115.73244915897695,104.3209626966406,,
20100412,-1.7115482937998798,131.46019188643288,121.23310915684507,,
20100413,26.827594672389694,143.7529803899461,136.36957818182927,,
20100414,54.46900931065124,153.38674565454275,148.86094816179164,,
20100415,77.03778238704326,161.22948919069958,160.34380018019692,,
20100416,95.16784254281882,171.05154036267288,171.72067749050328,,
20100419,113.17287302868277,171.59391797819112,173.17792588769382,,
20100420,124.60235477318668,172.06783361809173,174.53797437255025,,
20100421,133.74996870266168,172.42015792877834,175.41454868120158,,
20100422,142.24319154386174,172.64456165731147,175.9691295804688,,
20100423,147.30751687987984,171.63979174800582,174.79067201539485,,
20100426,152.0620714851802,171.72609337021316,174.06626007386632,,
20100427,155.6380983919331,171.81639696772197,173.48342209919633,,
20100428,157.17150325809777,170.84887771624187,169.0672973740316,,
20100429,158.43654694439138,169.56883735452243,165.27775740831012,,
20100430,162.14814021993257,168.09021230814952,161.86835165125984,,
20100504,163.05885385518494,166.54316439764736,158.83529612068514,,
20100505,163.70847126504117,164.88961140325208,156.34685185232078,,
20100506,107.94513732472228,104.38082453045254,98.99090331382081,,
20100507,64.24052072341334,60.175139206844904,58.17758067825276,,
20100510,74.49513430429525,26.082821128562415,26.67825838467289,,
20100511,82.72462590772788,-1.4822299153441383,0.9595600939865445,,
20100512,46.57587533273971,-23.460853974038248,-19.788524918449017,,
20100513,59.2641874040216,-41.441387360373476,-36.626787179685095,,
20100514,28.122604578296343,-55.83407171743635,-49.86260641730039,,
20100517,42.26438238458513,-65.00923715602912,-58.725068047739214,,
20100518,15.195456663714651,-72.42877542440054,-65.36347610809685,,
20100519,-7.6601040889006855,-78.60722274351365,-70.88084833779615,,
20100520,-26.31998387921942,-83.3278685995545,-74.9778428863419,,
20100521,-41.5350856413754,-86.88055344482837,-77.91366339227903,,
20100524,-54.82773515850605,-90.33271782629505,-80.70769877035555,,
20100525,-65.4336819986319,-92.84919420888006,-82.87624685392117,,
20100526,-73.90617100215772,-94.480780153873,-84.49027755320706,,
20100527,-80.99411608979146,-96.07721921196963,-86.15672641317295,,
20100528,-86.82038781117147,-97.42863240909544,-87.61257011516021,,
20100531,-91.64017216224894,-98.49527638064907,-88.60411033001208,,
20100601,-95.81408494836587,-99.40276847088128,-89.4488294058633,,
20100602,-99.56943281883198,-99.906132259606,-89.79631822664054,,
20100603,-103.95990133289516,-100.87633987081361,-90.25777657661325,,
20100604,-108.66019124259398,-103.68925370817799,-92.69511877256471,,
20100607,-113.04653281456153,-104.84665342223771,-92.61488780675502,,
20100608,-116.66538038176583,-105.97172271612156,-92.63508553842748,,
20100609,-121.61203413475091,-107.31264859755811,-92.81578791845588,,
20100610,-125.75044646089034,-108.40446633669558,-92.94171961431549,,
20100611,-129.9880005844181,-109.58186206839007,-93.35181619670168,,
