trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,0.0,0.0,0.0,,
20100202,0.0,0.0,0.0,,
20100203,0.0,0.0,0.0,,
20100204,0.0,0.0,0.0,,
20100205,0.0,0.0,0.0,,
20100208,0.0,0.0,0.0,,
20100209,0.0,0.0,0.0,,
20100210,0.0,0.0,0.0,,
20100211,0.0,0.0,0.0,,
20100212,0.0,0.0,0.0,,
20100222,0.0,0.0,0.0,,
20100223,0.0,0.0,0.0,,
20100224,0.0,0.0,0.0,,
20100225,0.0,0.0,0.0,,
20100226,0.0,0.0,0.0,,
20100301,0.0,0.0,0.0,,
20100302,0.0,0.0,0.0,,
20100303,0.0,0.0,0.0,,
20100304,0.0,0.0,0.0,,
20100305,0.0,0.0,0.0,,
20100308,0.0,0.0,0.0,,
20100309,0.0,0.0,0.0,,
20100310,0.0,0.0,0.0,,
20100311,0.0,0.0,0.0,,
20100312,0.0,0.0,0.0,,
20100315,0.0,0.0,0.0,,
20100316,0.0,0.0,0.0,,
20100317,0.0,0.0,0.0,,
20100318,0.0,0.0,0.0,,
20100319,0.0,0.0,0.0,,
20100322,0.0,0.0,0.0,,
20100323,0.0,0.0,0.0,,
20100324,0.0,0.0,0.0,,
20100325,0.0,0.0,0.0,,
20100326,0.0,0.0,0.0,,
20100329,0.0,0.0,0.0,,
20100330,0.0,0.0,0.0,,
20100331,0.0,0.0,0.0,,
20100401,0.0,0.0,0.0,,
20100402,0.0,0.0,0.0,,
20100406,-0.8837356243722904,-11.390549233972571,-7.064539869294367,,
20100407,-1.7034216643688163,-16.733433331072558,-14.423406614076645,,
20100408,-3.241118944378033,-23.981921628065766,-21.431925852727097,,
20100409,-2.8895390678173993,-27.125634867780608,-23.68659644077989,,
20100412,-3.2011541168289566,-31.545298838198274,-24.42683917273992,,
20100413,-4.797952193902898,-35.333577161238935,-27.21279660748096,,
20100414,-8.446509936358074,-40.311307168042156,-30.371764817041356,,
20100415,-11.125584844767413,-43.83339839792755,-32.80370199587261,,
20100416,-13.097651535973437,-50.72313051811827,-34.67119755049131,,
20100419,-14.027379852548155,-54.864179021225695,-36.692599210716025,,
20100420,-15.023670160641798,-59.262209567043115,-42.31405978498096,,
20100421,-16.606516152484733,-64.2257313140657,-47.95533529255176,,
20100422,-20.18260261001833,-69.24888225245623,-53.40933390178034,,
20100423,-24.221932860659578,-72.73015194164637,-58.06796073980122,,
20100426,-28.489879787822172,-76.05894609505897,-62.812659073386655,,
20100427,-33.07239110254699,-78.79292102018516,-66.69954403596273,,
20100428,-37.55831704118173,-80.47896725957304,-67.93867773657163,,
20100429,-41.29295486006091,-81.6001064684125,-68.86562018568493,,
20100430,-45.29602092348625,-82.2892592771234,-69.47183215505721,,
20100504,-47.818674840406345,-82.67471859889325,-69.84781995390532,,
20100505,-49.84885477628085,-82.7849778778703,-70.15206927623433,,
20100506,-49.98830789935314,-83.88114654128431,-71.65185101261439,,
20100507,-49.422785901682126,-81.97382634107394,-69.86617696888224,,
20100510,-48.20131943564777,-79.31522528423109,-67.47221240570158,,
20100511,-47.14507180494705,-76.96616276135956,-65.4871653263348,,
20100512,-46.04506286414703,-74.74027318792173,-63.717929888657395,,
20100513,-45.162310345522734,-72.9180452011788,-62.202649307321806,,
20100514,-44.16027876331788,-71.25857837143904,-60.69632921693104,,
20100517,-42.947055537307655,-68.52523151525224,-58.494734999139254,,
20100518,-42.000263904625726,-66.24261929673654,-56.39152812220936,,
20100519,-41.47632692279342,-64.43210880372965,-54.71307260409777,,
20100520,-41.03344791745652,-62.773878883645224,-53.13420874062119,,
20100521,-40.65265962654061,-61.25335230912288,-51.63729860901881,,
20100524,-40.63984170181193,-60.297781695070675,-50.60570972406002,,
20100525,-40.533829655841245,-59.35302565138825,-49.703794501492006,,
20100526,-40.37448943219956,-58.35400058211752,-48.8869086243587,,
20100527,-40.29930903546959,-57.674937395025985,-48.38897682057148,,
20100528,-40.247370871780184,-57.1432673385978,-48.02710047373249,,
20100531,-40.22357857526219,-56.68760530167167,-47.632665892619016,,
20100601,-40.28568835012232,-56.33318929282081,-47.32643335484413,,
20100602,-40.45697558611797,-55.91672686558115,-46.906550550113586,,
20100603,-41.06363670292941,-55.871327159899295,-46.65029929186283,,
20100604,-41.952239300798446,-56.90217217943247,-47.45558553871312,,
20100607,-42.870658172962145,-57.140441715632114,-47.09229859487551,,
20100608,-43.63271927590435,-57.42959715302117,-46.837361561895236,,
20100609,-44.959153926040344,-57.888553713949136,-46.70967388952677,,
20100610,-46.076684170171305,-58.261258418689195,-46.594403330475906,,
20100611,-47.29247134977885,-58.71646584555926,-46.65139371910468,,
20100617,-48.81684530428276,-60.293205051737395,-47.586254715429405,,
20100618,-50.051736012026474,-61.95556793217341,-48.89042266783659,,
