Factor,Parameters,Mode,SharpRatio,POT
OpenInterestROC,{'N': 10},RAW,-0.1418,-6.0923
OpenInterestROC,{'N': 10},STATE_MACHINE,-0.1865,-5.1328
OpenInterestROC,{'N': 20},RAW,-0.2616,-29.0355
OpenInterestROC,{'N': 20},STATE_MACHINE,-0.0635,-2.5186
OpenInterestROC,{'N': 30},RAW,-0.2134,-31.8292
OpenInterestROC,{'N': 30},STATE_MACHINE,-0.2616,-12.0622
OpenInterestROC,{'N': 40},RAW,0.0632,10.4849
OpenInterestROC,{'N': 40},STATE_MACHINE,-0.4848,-26.8379
OpenInterestROC,{'N': 50},RAW,-0.0198,-4.188
OpenInterestROC,{'N': 50},STATE_MACHINE,-0.383,-24.2375
OpenInterestROC,{'N': 60},RAW,-0.0715,-24.5506
OpenInterestROC,{'N': 60},STATE_MACHINE,-0.5339,-41.2387
