Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
Kurtosis,{'N': 50},1,-0.1282,-11.4431,-0.0862,-5.1797
Kurtosis,{'N': 60},2,-0.2107,-21.016,-0.1166,-8.4804
Kurtosis,{'N': 40},3,-0.2518,-18.6367,-0.0403,-2.0092
OvernightVsIntraday,{'N': 50},1,0.3349,25.1335,0.1617,7.8961
OvernightVsIntraday,{'N': 40},2,0.268,18.4591,0.1115,5.1023
OvernightVsIntraday,{'N': 60},3,0.1905,15.2035,0.1935,10.0963
Skewness,{'N': 40},1,0.3578,19.8676,0.1947,8.6344
Skewness,{'N': 50},2,0.343,21.914,0.1095,5.5143
Skewness,{'N': 60},3,0.2806,20.2238,0.1599,8.8314
NoiseFader,{'N': 30},1,-0.1351,-5.0975,-0.191,-8.5589
NoiseFader,{'N': 60},2,-0.1417,-7.018,-0.1587,-8.8032
NoiseFader,{'N': 20},3,-0.1509,-4.6271,-0.2157,-8.1623
ShortTermReversal,{'N': 60},1,-0.1789,-16.4731,-0.1556,-8.6664
ShortTermReversal,{'N': 20},2,-0.216,-12.2717,-0.2231,-8.4413
ShortTermReversal,{'N': 30},3,-0.2229,-15.5002,-0.1983,-8.8893
AmihudIlliquidity,{'N': 60},1,0.0372,23.8644,0.2992,43.7381
AmihudIlliquidity,{'N': 50},2,-0.0554,-36.3482,0.2991,43.6096
AmihudIlliquidity,{'N': 10},3,-0.0823,-15.9886,0.2993,43.4307
BuyingSellingPressure,{'N': 40},1,0.5552,37.6522,0.4904,24.2857
BuyingSellingPressure,{'N': 10},2,0.5323,17.7437,0.5923,15.2239
BuyingSellingPressure,{'N': 50},3,0.4964,37.2603,0.406,22.0934
BollingerBands,{'N': 20},1,0.4587,12.4252,0.4587,12.4252
BollingerBands,{'N': 60},2,0.4341,20.7699,0.4341,20.7699
BollingerBands,{'N': 50},3,0.3526,14.895,0.3526,14.895
DonchianChannel,{'N': 10},1,0.418,11.0102,0.3343,7.5186
DonchianChannel,{'N': 40},2,0.3492,17.2656,0.3322,15.2479
DonchianChannel,{'N': 50},3,0.3445,18.4984,0.244,11.8142
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,0.3268,16.6572,0.2185,7.6628
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",2,0.3088,30.0258,0.2773,18.2081
DualMACrossover,"{'fast_n': 10, 'slow_n': 60}",3,0.2869,26.5082,0.2248,13.6292
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,0.2886,22.0435,0.2932,13.7077
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,0.2565,15.5113,0.1784,6.4889
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",3,0.2457,10.117,0.1333,3.4857
MovingAverageBias,{'N': 50},1,0.3121,23.4486,0.312,15.3939
MovingAverageBias,{'N': 60},2,0.3071,24.8714,0.212,10.7923
MovingAverageBias,{'N': 20},3,0.2773,13.426,0.2755,8.8509
RSI,{'N': 10},1,0.4855,16.1762,0.3508,9.3056
RSI,{'N': 40},2,0.4758,31.3314,0.4272,21.414
RSI,{'N': 50},3,0.4011,28.421,0.3136,16.8164
TimeSeriesMomentum,{'N': 40},1,0.3854,30.849,0.4399,22.1438
TimeSeriesMomentum,{'N': 10},2,0.3579,14.7178,0.3534,9.4003
TimeSeriesMomentum,{'N': 50},3,0.3503,30.324,0.3244,17.5119
ATR,{'N': 20},1,0.4117,76.1169,0.3077,44.9426
ATR,{'N': 30},2,0.3977,67.5641,0.299,43.7192
ATR,{'N': 10},3,0.3939,63.3322,0.3028,44.1051
DownsideUpsideVolatility,{'N': 40},1,0.4443,27.9044,0.503,25.6562
DownsideUpsideVolatility,{'N': 50},2,0.3801,26.0324,0.4803,26.3666
DownsideUpsideVolatility,{'N': 10},3,0.3514,10.9938,0.2309,6.0347
HistoricalVolatility,{'N': 20},1,0.4028,103.6154,0.305,44.2417
HistoricalVolatility,{'N': 40},2,0.3887,65.3587,0.2976,43.1913
HistoricalVolatility,{'N': 60},3,0.3874,64.5767,0.2992,43.7381
IntradayAmplitude,{'N': 20},1,0.4112,75.132,0.3077,44.9426
IntradayAmplitude,{'N': 30},2,0.4047,69.4127,0.299,43.7192
IntradayAmplitude,{'N': 40},3,0.4005,67.7454,0.303,44.2877
VIXFix,{'N': 30},1,0.2625,24.1015,0.2291,32.3933
VIXFix,{'N': 20},2,0.2506,20.8688,0.2289,32.3305
VIXFix,{'N': 10},3,0.229,16.1437,0.2289,32.3305
CMF,{'N': 40},1,0.5822,34.6719,0.5179,23.3015
CMF,{'N': 10},2,0.5572,17.2174,0.6192,15.2982
CMF,{'N': 50},3,0.5387,34.727,0.5425,26.3771
OBV,{'N': 60},1,0.4702,48.1301,0.1262,5.2849
OBV,{'N': 50},2,0.3682,99.6076,0.1776,6.8147
OBV,{'N': 20},3,0.3553,40.6982,0.1742,4.3414
OpenInterestROC,{'N': 40},1,0.0632,10.4849,-0.4848,-26.8379
OpenInterestROC,{'N': 50},2,-0.0198,-4.188,-0.383,-24.2375
OpenInterestROC,{'N': 60},3,-0.0715,-24.5506,-0.5339,-41.2387
PriceOiDivergence,{'N': 50},1,0.2824,22.4105,0.1462,7.4428
PriceOiDivergence,{'N': 40},2,0.2381,17.3212,0.175,7.3948
PriceOiDivergence,{'N': 10},3,0.2366,6.7793,0.2313,4.5024
PriceVolumeCorrelation,{'N': 50},1,0.409,30.7405,0.494,30.4284
PriceVolumeCorrelation,{'N': 40},2,0.3751,25.4638,0.3205,17.8903
PriceVolumeCorrelation,{'N': 60},3,0.2734,22.1728,0.419,27.2541
VolumeMomentum,{'N': 20},1,-0.0558,-1.5493,0.1636,3.302
VolumeMomentum,{'N': 10},2,-0.0696,-1.2101,0.1055,1.379
VolumeMomentum,{'N': 30},3,-0.1613,-5.5596,0.1361,3.596
