trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.07726983628028644,0.0,0.0,0.0,0.0,0.0
20100120,-0.7507209831510098,0.0,0.0,0.0,0.0,0.0
20100121,0.8804365013431552,0.0,0.0,0.0,0.0,0.0
20100122,0.028772766605024917,0.0,0.0,0.0,0.0,0.0
20100125,-0.03180151889449887,0.0,0.0,0.0,0.0,0.0
20100126,0.29758765682625365,0.0,0.0,0.0,0.0,0.0
20100127,-0.26193164640943406,0.0,0.0,0.0,0.0,0.0
20100128,0.9178959629747518,0.0,0.0,0.0,0.0,0.0
20100129,0.009520383672874208,0.0,0.0,0.0,0.0,0.0
20100201,-0.3033404786468086,0.0,0.0,0.0,0.0,0.0
20100202,-0.06407054068311822,-0.0683001632210218,0.0,0.0,0.0,0.0
20100203,1.3226779889153049,0.44933947970808397,0.0,0.0,0.0,0.0
20100204,-0.39012136928538804,-0.25146643534521745,0.0,0.0,0.0,0.0
20100205,-0.191903386939838,0.06669367694046759,0.0,0.0,0.0,0.0
20100208,-0.7467726442958041,-0.06106627788129432,0.0,0.0,0.0,0.0
20100209,0.052895620589917786,-0.028286741917009764,0.0,0.0,0.0,0.0
20100210,0.009919268186547522,0.07144595114273752,0.0,0.0,0.0,0.0
20100211,-0.16844714482576514,-0.18691584889322646,0.0,0.0,0.0,0.0
20100212,0.07509146025099278,0.030788718235996944,0.0,0.0,0.0,0.0
20100222,-0.4176752518865033,-0.05510669755374066,0.0,0.0,0.0,0.0
20100223,0.6918838162754226,0.284711774772419,-0.07128752604991687,0.0,0.0,0.0
20100224,-0.6465868568150227,-0.4272686838262445,0.06826845614857802,0.0,0.0,0.0
