Factor,Parameters,Mode,SharpRatio,POT
VolumeMomentum,{'N': 10},RAW,-0.0696,-1.2101
VolumeMomentum,{'N': 10},STATE_MACHINE,0.1055,1.379
VolumeMomentum,{'N': 20},RAW,-0.0558,-1.5493
VolumeMomentum,{'N': 20},STATE_MACHINE,0.1636,3.302
VolumeMomentum,{'N': 30},RAW,-0.1613,-5.5596
VolumeMomentum,{'N': 30},STATE_MACHINE,0.1361,3.596
VolumeMomentum,{'N': 40},RAW,-0.2613,-11.554
VolumeMomentum,{'N': 40},STATE_MACHINE,0.0245,0.8537
VolumeMomentum,{'N': 50},RAW,-0.2509,-13.8543
VolumeMomentum,{'N': 50},STATE_MACHINE,-0.0379,-1.7088
VolumeMomentum,{'N': 60},RAW,-0.3483,-23.815
VolumeMomentum,{'N': 60},STATE_MACHINE,-0.1008,-5.8733
