,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF
20100104,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0
20100201,0.0,0.0,0.0,0.0,0.0
20100202,0.0,0.0,0.0,0.0,-2.008033218202243
20100203,0.0,0.0,0.0,0.0,-3.347659246767961
20100204,0.0,0.0,0.0,0.0,-4.4505861030458105
20100205,0.0,0.0,0.0,0.0,-5.519321127163945
20100208,0.0,0.0,0.0,0.0,-2.6238138291988387
20100209,0.0,0.0,0.0,0.0,-0.18088516260672566
20100210,0.0,0.0,0.0,0.0,1.7590584285791921
20100211,0.0,0.0,0.0,0.0,-0.5236490679387077
20100212,0.0,0.0,0.0,0.0,1.501691768520899
20100222,0.0,0.0,0.0,0.0,1.2206270564358754
20100223,0.0,0.0,0.0,0.0,-2.7230241896126954
20100224,0.0,0.0,0.0,0.0,-5.854120423918493
20100225,0.0,0.0,0.0,0.0,-4.794348388244732
20100226,0.0,0.0,0.0,0.0,-7.468622447836364
20100301,0.0,0.0,0.0,0.0,-9.78976573662374
20100302,0.0,0.0,0.0,0.0,-11.689664580865099
20100303,0.0,0.0,0.0,0.0,-13.13846338094207
20100304,0.0,0.0,0.0,0.0,-14.466793618583653
20100305,0.0,0.0,0.0,0.0,-15.561712309031027
20100308,0.0,0.0,0.0,0.0,-16.411483233512197
20100309,0.0,0.0,0.0,0.0,-17.074157882148477
20100310,0.0,0.0,0.0,0.0,-18.75956586128308
20100311,0.0,0.0,0.0,0.0,-20.166460220962225
20100312,0.0,0.0,0.0,0.0,-21.889744164933703
20100315,0.0,0.0,0.0,0.0,-17.89897864067565
20100316,0.0,0.0,0.0,0.0,-14.633981781133231
20100317,0.0,0.0,0.0,0.0,-7.580319844977291
20100318,0.0,0.0,0.0,0.0,-6.193643544377253
20100319,0.0,0.0,0.0,0.0,-5.0591717654809765
20100322,0.0,0.0,0.0,0.0,-4.130435306469793
20100323,0.0,0.0,0.0,0.0,1.619456331318406
20100324,0.0,0.0,0.0,0.0,1.3344985191938994
20100325,0.0,0.0,0.0,0.0,1.1013822085183786
20100326,0.0,0.0,0.0,0.0,6.304614363102144
20100329,0.0,0.0,0.0,0.0,10.550032704803453
20100330,0.0,0.0,0.0,0.0,14.034172712970408
20100331,0.0,0.0,0.0,0.0,17.07425868775901
20100401,0.0,0.0,0.0,0.0,19.59875756279004
20100402,0.0,0.0,0.0,0.0,21.665110824761335
20100406,0.0,0.0,0.0,0.0,23.344132548313432
20100407,0.0,0.0,0.0,0.0,19.1100682228878
20100408,0.0,0.0,0.0,0.0,15.645814795107833
20100409,0.0,0.0,0.0,0.0,12.811009349682426
20100412,0.0,0.0,0.0,0.0,10.49147643687804
20100413,0.0,0.0,0.0,0.0,8.593650419566984
20100414,0.0,0.0,0.0,0.0,7.040899964257726
20100415,0.0,0.0,0.0,0.0,5.774124584802395
20100416,0.0,0.0,0.0,0.0,4.73720284828252
20100419,0.0,0.0,0.0,0.0,3.8892526518371717
20100420,0.0,0.0,0.0,0.0,-2.6158800734403904
20100421,0.0,0.0,0.0,0.0,-2.129511480055797
20100422,0.0,0.0,0.0,0.0,-7.574583102152786
20100423,0.0,0.0,0.0,0.0,-12.139167866577555
20100426,0.0,0.0,0.0,0.0,-15.92587895818563
20100427,0.0,0.0,0.0,0.0,-19.022468642710358
20100428,0.0,0.0,0.0,0.0,-21.24332092755197
20100429,0.0,0.0,0.0,0.0,-22.46378676629172
20100430,0.0,0.0,0.0,0.0,-23.46188526747425
20100504,0.0,0.0,0.0,0.0,-23.961200636065225
20100505,0.0,0.0,0.0,0.0,-24.382899038696515
20100506,0.0,0.0,0.0,0.0,-19.95887186891417
20100507,0.0,0.0,0.0,0.0,-16.33936521808101
20100510,0.0,0.0,0.0,0.0,-13.377040134738838
20100511,0.0,0.0,0.0,0.0,-15.67314006417736
20100512,0.0,0.0,0.0,0.0,-17.56026920835611
20100513,0.0,0.0,0.0,0.0,-18.94900018109649
20100514,0.0,0.0,0.0,0.0,-20.065614548304104
20100517,0.0,0.0,0.0,0.0,-20.976992589397028
20100518,0.0,0.0,0.0,0.0,-20.580531792707276
20100519,0.0,0.0,0.0,0.0,-20.243507675264162
20100520,0.0,0.0,0.0,0.0,-18.098310720206293
20100521,0.0,0.0,0.0,0.0,-16.6960989586843
20100524,0.0,0.0,0.0,0.0,-15.639604249567453
20100525,0.0,0.0,0.0,0.0,-15.228865299411762
20100526,0.0,0.0,0.0,0.0,-14.647738382708829
20100527,0.0,0.0,0.0,0.0,-14.411111215208017
20100528,0.0,0.0,0.0,0.0,-14.057082982860422
20100531,0.0,0.0,0.0,0.0,-13.976730058768162
20100601,0.0,0.0,0.0,0.0,-14.371144330059497
20100602,0.0,0.0,0.0,0.0,-14.600533706803102
20100603,0.0,0.0,0.0,0.0,-14.3320182117122
20100604,0.0,0.0,0.0,0.0,-14.80620765433817
20100607,0.0,0.0,0.0,0.0,-16.018111789576672
20100608,0.0,0.0,0.0,0.0,-14.748255495210074
20100609,0.0,0.0,0.0,0.0,-15.20317598665091
20100610,0.0,0.0,0.0,0.0,-12.785199007989313
20100611,0.0,0.0,0.0,0.0,-11.040488951459649
20100617,0.0,0.0,0.0,0.0,-9.821728606916889
20100618,0.0,0.0,0.0,0.0,-9.160057037160232
20100621,0.0,0.0,0.0,0.0,-8.450096382567674
20100622,0.0,0.0,0.0,0.0,-6.877598138127779
20100623,0.0,0.0,0.0,0.0,-6.453437325161068
20100624,0.0,0.0,0.0,0.0,-5.2057977524443295
20100625,0.0,0.0,0.0,0.0,-5.142592590182593
20100628,0.0,0.0,0.0,0.0,-5.324614149978335
20100629,0.0,0.0,0.0,0.0,-4.476250419146167
20100630,0.0,0.0,0.0,0.0,-3.990662645474101
20100701,0.0,0.0,0.0,0.0,-4.2644805908590575
20100702,0.0,0.0,0.0,0.0,-4.439681895147383
20100705,0.0,0.0,0.0,0.0,-3.933595669001559
20100706,0.0,0.0,0.0,0.0,-3.9289755483738427
20100707,0.0,0.0,0.0,0.0,-4.037664272130266
20100708,0.0,0.0,0.0,0.0,-4.527726229789885
20100709,0.0,0.0,0.0,0.0,-9.532038206535839
20100712,0.0,0.0,0.0,0.0,-8.461892611908691
