Factor,Parameters,Mode,SharpRatio,POT
MovingAverageBias,{'N': 10},RAW,-0.0674,-2.4057
MovingAverageBias,{'N': 10},STATE_MACHINE,0.2764,5.1769
MovingAverageBias,{'N': 20},RAW,0.0438,1.9842
MovingAverageBias,{'N': 20},STATE_MACHINE,0.2716,6.8233
MovingAverageBias,{'N': 30},RAW,0.1588,8.2506
MovingAverageBias,{'N': 30},STATE_MACHINE,0.405,11.718
MovingAverageBias,{'N': 40},RAW,0.3011,17.3109
MovingAverageBias,{'N': 40},STATE_MACHINE,0.5429,17.1385
MovingAverageBias,{'N': 50},RAW,0.352,21.5811
MovingAverageBias,{'N': 50},STATE_MACHINE,0.5219,17.1554
MovingAverageBias,{'N': 60},RAW,0.3671,23.5044
MovingAverageBias,{'N': 60},STATE_MACHINE,0.5368,18.1645
