Factor,Parameters,Mode,SharpRatio,POT
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",RAW,-0.5201,-24.9723
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",STATE_MACHINE,-0.0552,-0.8618
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",RAW,-0.598,-32.9716
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",STATE_MACHINE,-0.1245,-2.403
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",RAW,-0.477,-30.2628
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",STATE_MACHINE,-0.1421,-3.2762
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",RAW,-0.21,-16.2105
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",STATE_MACHINE,0.1073,2.8631
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",RAW,0.1575,16.068
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",STATE_MACHINE,0.6414,22.0578
