Factor,Parameters,Mode,SharpRatio,POT
Kurtosis,{'N': 10},RAW,-0.147,-3.0779
Kurtosis,{'N': 10},STATE_MACHINE,0.0527,0.7875
Kurtosis,{'N': 20},RAW,-0.1638,-5.9772
Kurtosis,{'N': 20},STATE_MACHINE,-0.1997,-4.5167
Kurtosis,{'N': 30},RAW,-0.1271,-5.8202
Kurtosis,{'N': 30},STATE_MACHINE,-0.2014,-5.7392
Kurtosis,{'N': 40},RAW,-0.1716,-8.7074
Kurtosis,{'N': 40},STATE_MACHINE,-0.4307,-14.1752
Kurtosis,{'N': 50},RAW,-0.2037,-11.168
Kurtosis,{'N': 50},STATE_MACHINE,-0.5006,-19.0577
Kurtosis,{'N': 60},RAW,-0.1668,-9.6234
Kurtosis,{'N': 60},STATE_MACHINE,-0.4514,-18.8869
