trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,-0.20820775676507816,0.0,0.0,0.0,0.0,0.0
20100120,-0.01632356974533246,0.0,0.0,0.0,0.0,0.0
20100121,-0.014048175356577885,0.0,0.0,0.0,0.0,0.0
20100122,-0.951263208268187,0.0,0.0,0.0,0.0,0.0
20100125,0.11958985164660911,0.0,0.0,0.0,0.0,0.0
20100126,-0.9315615038285798,0.0,0.0,0.0,0.0,0.0
20100127,0.10102749241432156,0.0,0.0,0.0,0.0,0.0
20100128,-0.837654514325506,0.0,0.0,0.0,0.0,0.0
20100129,-1.122100535507908,0.0,0.0,0.0,0.0,0.0
20100201,-0.09520184834432939,0.0,0.0,0.0,0.0,0.0
20100202,-0.003949155829953189,0.05715466806203213,0.0,0.0,0.0,0.0
20100203,-0.37829025960051493,-0.7213109136498076,0.0,0.0,0.0,0.0
20100204,0.3496432679604995,0.49928411571692294,0.0,0.0,0.0,0.0
20100205,0.5358455967266464,0.6756312738631289,0.0,0.0,0.0,0.0
20100208,-0.043483106697262394,-0.05118159861221141,0.0,0.0,0.0,0.0
20100209,-0.18558849801116095,-0.10098688614769466,0.0,0.0,0.0,0.0
20100210,-0.5861642058912109,-0.08411925870527007,0.0,0.0,0.0,0.0
20100211,-0.6459031499634297,-0.22827342928277147,0.0,0.0,0.0,0.0
20100212,-0.46211500279100265,-0.23088885447669205,0.0,0.0,0.0,0.0
20100222,-0.49695203380051606,-0.5264254133628187,0.0,0.0,0.0,0.0
20100223,0.029049440655090523,0.07794054572693719,0.02290489102987599,0.0,0.0,0.0
